Service Description,Service Classification
"Bikesy is an open bike mapping system used for finding biking routes in the San Francisco Bay Area. The service focuses on providing users with the safest bike routes with the least change in elevation. The API lets developers access bike route data for use in their own websites and applications. The API accepts a number of inputs such as starting and ending points, reluctance to ride hills and safety. It uses RESTful calls and responses are formatted in XML and JSON.",Mapping
"The Bing Maps Routes API can be used to create routes that includes two or more locations and to create routes from major roads. Users have the option of creating routes for both driving and walking. Driving routes can include traffic information and the final routes can be overlaid routes on map imagery. The API uses REST and SOAP protocol and responses are formatted in XML, JSON and JSONP.",Mapping
"GEOSPAN is a visual geographic information service. They offer multiple products including aerial imagery, street level inventories and imagery, location geocoding, and GIS feature extraction. The GEOSPAN API allows developers to access images and information from GEOSPAN. Some example API methods include integrating viewers into other applications, extracting coordinates, cropping images, and creating map overlays. Public documentation is not available. Interested developers should sign up here: http://www.geospan.com/product-api.asp.",Mapping
Map.Search.ch provides a map of Switzerland with route planner. The JavaScript API of map.search.ch lets users embed the interactive map of Switzerland in any website or web-based application. Using the API users can also add custom Points of Interest (POIs) to the map widget.,Mapping
"The service provides route definition between stated starting and destination points, all as part of a general map rendering function. Map rendering options include specifying locations to place pins and discover local information, along with definitions of polygons marking of specific areas within a map. API methods support route definition based on a starting and destination point, with options for an itinerary of up to 20 interim points and avoidance of specified obstacles. Map rendering methods support designation of location points to place markers and discover information related to the location.",Mapping
"The API provides a series of programming interfaces to simplify the integration of advanced spatial intelligence into existing applications. It creates a SaaS geospatial platform for developing location-aware information applications on top of common mapping platforms. The service was designed to facilitate the rapid development of embedded GIS and consumer mapping applications without needing to be a GIS expert. In addition to REST services, specialized client APIs are available to work with Google and Bing map controls.",Mapping
"MapQuest Platform Services provides businesses and developers with an industry-leading platform that includes the developer tools, resources, and industry expertise for building rich, engaging online mapping solutions for wireless, web, and desktop applications. Several APIs and Web Services are available. APIs include JavaScript, Flash, Mobile Flash, Android, and iOS. Web Services, which can be accessed from a variety of environments, include Directions, Geocoding, Search, Static Maps, Long URL, and Traffic.",Mapping
"The service detects a web visitor's IP address and provides the user's global location, with varying accuracy depending on the country of origin. A companion service uses geocoding to return information about services and places near the detected user location. API methods support submission of a detected IP address and return a range of geolocation information, including country, region, city, latitude and longitude, currency code and symbol, and current exchange rate. The geocoding API provides specifications for business and places nearby a submitted latitude and longitude.",Mapping
"The Onuma Web Feature Service (WFS) provides access to Onuma's geospatial data resources. This includes the locations and features of buildings, along with other Building Information Modeling (BIM) data. Users can query a specific geographic area determined either by input coordinates or by a drawn area that forms a bounding box. This service also allows users to make Onuma data available to other web services and applications. Onuma WFS is based on open standards established by the Open Geospatial Consortium (OGC) and operates over GET and POST protocols.",Mapping
"The Mapzen Search API allows developers to integrate their applications with the Mapzen Search service, enabling their users to use the service directly. A free API key is available upon contacting provider. Mapzen is an open source mapping lab. Mapzen Search is a search engine for places worldwide, powered by open data. It turns addresses and place names into geographic coordinates, and turns geographic coordinates into places and addresses.",Mapping
