Class,precision,recall,f1-score,support,accuracy,category_name
0,0.84,0.7777777777777778,0.8076923076923077,27.0,0.7777777777777778,Mapping
1,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0,0.8518518518518519,eCommerce
2,0.5357142857142857,0.5,0.5172413793103449,30.0,0.5,Messaging
3,0.8125,0.8666666666666667,0.8387096774193549,30.0,0.8666666666666667,Tools
4,0.8333333333333334,0.6666666666666666,0.7407407407407408,30.0,0.6666666666666666,Payments
5,0.6666666666666666,0.8666666666666667,0.7536231884057971,30.0,0.8666666666666667,Enterprise
6,0.7586206896551724,0.7333333333333333,0.7457627118644068,30.0,0.7333333333333333,Government
7,0.717948717948718,0.9333333333333333,0.8115942028985509,30.0,0.9333333333333333,Financial
8,0.41935483870967744,0.4642857142857143,0.44067796610169496,28.0,0.4642857142857143,Social
9,0.7777777777777778,0.7,0.7368421052631577,30.0,0.7,Science
10,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0,0.7037037037037037,Telephony
11,0.8,0.5925925925925926,0.6808510638297872,27.0,0.5925925925925926,Transportation
12,0.8695652173913043,0.6666666666666666,0.7547169811320754,30.0,0.6666666666666666,Sports
13,1.0,0.7777777777777778,0.8750000000000001,27.0,0.7777777777777778,Security
14,0.6388888888888888,0.7666666666666667,0.696969696969697,30.0,0.7666666666666667,Email
15,0.5,0.6,0.5454545454545454,30.0,0.6,Search
16,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0,0.8214285714285714,Travel
17,0.76,0.6785714285714286,0.7169811320754718,28.0,0.6785714285714286,Reference
18,0.9285714285714286,0.9285714285714286,0.9285714285714286,28.0,0.9285714285714286,Advertising
19,0.6,0.6,0.6,30.0,0.6,Video
accuracy,0.7244367417677643,0.7244367417677643,0.7244367417677643,0.7244367417677643,,accuracy
macro avg,0.7394598208423655,0.7248280423280423,0.7271359188342051,577.0,,macro avg
weighted avg,0.7370731572585058,0.7244367417677643,0.7257266090165417,577.0,,weighted avg
