Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5,Training Time,Inference Time
10,BiLSTM-tfidf,tfidf,0.8267,0.8221,0.8267,0.95,0.99,88.1919,0.2428
10,BiLSTM-sbert,sbert,0.8233,0.8204,0.8233,0.97,0.9867,8.0509,0.1215
20,BiLSTM-tfidf,tfidf,0.7244,0.7271,0.7244,0.8995,0.9341,251.0129,0.204
20,BiLSTM-sbert,sbert,0.7348,0.7348,0.7348,0.9133,0.9688,9.3189,0.1409
30,BiLSTM-tfidf,tfidf,0.7279,0.7304,0.7279,0.8622,0.9093,293.8447,0.2946
30,BiLSTM-sbert,sbert,0.7255,0.7264,0.7255,0.9008,0.9444,22.9575,0.1392
40,BiLSTM-tfidf,tfidf,0.711,0.7236,0.711,0.8365,0.8926,247.7842,0.2501
40,BiLSTM-sbert,sbert,0.7386,0.7425,0.7386,0.8726,0.9297,28.1531,0.181
50,BiLSTM-tfidf,tfidf,0.7196,0.7336,0.7196,0.8474,0.8906,294.1721,0.2881
50,BiLSTM-sbert,sbert,0.7212,0.7262,0.7212,0.8634,0.9081,43.8056,0.2103
