Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8947368421052632,0.6296296296296297,0.7391304347826088,27.0,0.6296296296296297,Mapping
1,0.88,0.8148148148148148,0.8461538461538461,27.0,0.8148148148148148,eCommerce
2,0.5483870967741935,0.5666666666666667,0.5573770491803278,30.0,0.5666666666666667,Messaging
3,0.8214285714285714,0.7666666666666667,0.793103448275862,30.0,0.7666666666666667,Tools
4,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0,0.7333333333333333,Payments
5,0.6666666666666666,0.8,0.7272727272727272,30.0,0.8,Enterprise
6,0.7666666666666667,0.7666666666666667,0.7666666666666667,30.0,0.7666666666666667,Government
7,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0,0.9333333333333333,Financial
8,0.6,0.32142857142857145,0.41860465116279066,28.0,0.32142857142857145,Social
9,0.7428571428571429,0.8666666666666667,0.8,30.0,0.8666666666666667,Science
10,0.6956521739130435,0.5925925925925926,0.6399999999999999,27.0,0.5925925925925926,Telephony
11,0.7857142857142857,0.8148148148148148,0.7999999999999999,27.0,0.8148148148148148,Transportation
12,0.8333333333333334,0.6666666666666666,0.7407407407407408,30.0,0.6666666666666666,Sports
13,1.0,0.8888888888888888,0.9411764705882353,27.0,0.8888888888888888,Security
14,0.6666666666666666,0.8,0.7272727272727272,30.0,0.8,Email
15,0.5454545454545454,0.6,0.5714285714285713,30.0,0.6,Search
16,0.78125,0.8928571428571429,0.8333333333333334,28.0,0.8928571428571429,Travel
17,0.7857142857142857,0.7857142857142857,0.7857142857142857,28.0,0.7857142857142857,Reference
18,0.9310344827586207,0.9642857142857143,0.9473684210526316,28.0,0.9642857142857143,Advertising
19,0.6666666666666666,0.7333333333333333,0.6984126984126984,30.0,0.7333333333333333,Video
accuracy,0.7469670710571924,0.7469670710571924,0.7469670710571924,0.7469670710571924,,accuracy
macro avg,0.7541202432658223,0.7469179894179894,0.7445309408568047,577.0,,macro avg
weighted avg,0.751313411641854,0.7469670710571924,0.7432394122651345,577.0,,weighted avg
