Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8,0.7407407407407407,0.7692307692307692,27.0,0.7407407407407407,Mapping
1,0.88,0.88,0.88,25.0,0.88,eCommerce
2,0.6285714285714286,0.88,0.7333333333333334,25.0,0.88,Messaging
3,0.85,0.68,0.7555555555555556,25.0,0.68,Tools
4,0.7,0.56,0.6222222222222222,25.0,0.56,Payments
5,0.9,0.72,0.7999999999999999,25.0,0.72,Enterprise
6,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0,0.8571428571428571,Government
7,0.5,0.5666666666666667,0.53125,30.0,0.5666666666666667,Financial
8,0.8695652173913043,0.6666666666666666,0.7547169811320754,30.0,0.6666666666666666,Social
9,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84,Science
10,0.6388888888888888,0.7666666666666667,0.696969696969697,30.0,0.7666666666666667,Telephony
11,0.75,0.8,0.7741935483870969,30.0,0.8,Transportation
12,0.7878787878787878,0.8666666666666667,0.8253968253968254,30.0,0.8666666666666667,Sports
13,1.0,0.84,0.9130434782608696,25.0,0.84,Security
14,0.6842105263157895,0.52,0.5909090909090909,25.0,0.52,Email
15,0.8484848484848485,0.9333333333333333,0.888888888888889,30.0,0.9333333333333333,Search
16,0.9047619047619048,0.76,0.8260869565217391,25.0,0.76,Travel
17,0.8064516129032258,1.0,0.8928571428571428,25.0,1.0,Reference
18,0.5,0.4444444444444444,0.47058823529411764,27.0,0.4444444444444444,Advertising
19,0.6578947368421053,0.8333333333333334,0.7352941176470588,30.0,0.8333333333333334,Video
20,0.5714285714285714,0.7142857142857143,0.634920634920635,28.0,0.7142857142857143,Data
21,0.6896551724137931,0.7142857142857143,0.7017543859649122,28.0,0.7142857142857143,Bitcoin
22,0.59375,0.6333333333333333,0.6129032258064516,30.0,0.6333333333333333,Games
23,1.0,0.7857142857142857,0.88,28.0,0.7857142857142857,Project Management
24,0.75,0.7,0.7241379310344827,30.0,0.7,Education
25,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0,0.4666666666666667,Database
26,0.8571428571428571,0.6666666666666666,0.75,27.0,0.6666666666666666,Cloud
27,0.9583333333333334,0.8518518518518519,0.9019607843137256,27.0,0.8518518518518519,Music
28,0.7666666666666667,0.8518518518518519,0.8070175438596491,27.0,0.8518518518518519,Photos
29,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0,0.8333333333333334,Other
accuracy,0.7448609431680774,0.7448609431680774,0.7448609431680774,0.7448609431680774,,accuracy
macro avg,0.7600574489171342,0.7457883597883597,0.7474801770385238,827.0,,macro avg
weighted avg,0.756360285369252,0.7448609431680774,0.7453199892911228,827.0,,weighted avg
