Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7142857142857143,0.5555555555555556,0.6250000000000001,27.0,0.5555555555555556,Mapping
1,0.6666666666666666,0.88,0.7586206896551725,25.0,0.88,eCommerce
2,0.6363636363636364,0.84,0.7241379310344828,25.0,0.84,Messaging
3,0.7142857142857143,0.2,0.3125,25.0,0.2,Tools
4,0.6875,0.44,0.5365853658536586,25.0,0.44,Payments
5,0.8888888888888888,0.64,0.7441860465116279,25.0,0.64,Enterprise
6,0.7714285714285715,0.9642857142857143,0.8571428571428572,28.0,0.9642857142857143,Government
7,0.35,0.23333333333333334,0.28,30.0,0.23333333333333334,Financial
8,0.6470588235294118,0.36666666666666664,0.46808510638297873,30.0,0.36666666666666664,Social
9,0.8076923076923077,0.84,0.8235294117647058,25.0,0.84,Science
10,0.48,0.8,0.6,30.0,0.8,Telephony
11,0.6944444444444444,0.8333333333333334,0.7575757575757577,30.0,0.8333333333333334,Transportation
12,0.6136363636363636,0.9,0.7297297297297297,30.0,0.9,Sports
13,0.9230769230769231,0.96,0.9411764705882353,25.0,0.96,Security
14,0.5,0.08,0.13793103448275865,25.0,0.08,Email
15,0.6222222222222222,0.9333333333333333,0.7466666666666667,30.0,0.9333333333333333,Search
16,0.6551724137931034,0.76,0.7037037037037037,25.0,0.76,Travel
17,0.75,0.96,0.8421052631578947,25.0,0.96,Reference
18,0.25,0.1111111111111111,0.15384615384615383,27.0,0.1111111111111111,Advertising
19,0.6097560975609756,0.8333333333333334,0.7042253521126761,30.0,0.8333333333333334,Video
20,0.5555555555555556,0.5357142857142857,0.5454545454545454,28.0,0.5357142857142857,Data
21,0.6071428571428571,0.6071428571428571,0.6071428571428571,28.0,0.6071428571428571,Bitcoin
22,0.5806451612903226,0.6,0.5901639344262295,30.0,0.6,Games
23,0.9259259259259259,0.8928571428571429,0.9090909090909091,28.0,0.8928571428571429,Project Management
24,0.5405405405405406,0.6666666666666666,0.5970149253731343,30.0,0.6666666666666666,Education
25,0.5714285714285714,0.13333333333333333,0.21621621621621623,30.0,0.13333333333333333,Database
26,0.7142857142857143,0.7407407407407407,0.7272727272727273,27.0,0.7407407407407407,Cloud
27,0.7857142857142857,0.8148148148148148,0.7999999999999999,27.0,0.8148148148148148,Music
28,0.7428571428571429,0.9629629629629629,0.8387096774193549,27.0,0.9629629629629629,Photos
29,0.6764705882352942,0.7666666666666667,0.71875,30.0,0.7666666666666667,Other
accuracy,0.6614268440145102,0.6614268440145102,0.6614268440145102,0.6614268440145102,,accuracy
macro avg,0.6561015043617052,0.6617283950617282,0.6332187777535012,827.0,,macro avg
weighted avg,0.6517552439905248,0.6614268440145102,0.6311999666035221,827.0,,weighted avg
