Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7241379310344828,0.7777777777777778,0.75,27.0,0.7777777777777778,Mapping
1,0.88,0.88,0.88,25.0,0.88,eCommerce
2,0.6363636363636364,0.84,0.7241379310344828,25.0,0.84,Messaging
3,0.7894736842105263,0.6,0.6818181818181819,25.0,0.6,Tools
4,0.5882352941176471,0.4,0.4761904761904762,25.0,0.4,Payments
5,0.7727272727272727,0.68,0.7234042553191491,25.0,0.68,Enterprise
6,0.8571428571428571,0.8571428571428571,0.8571428571428571,28.0,0.8571428571428571,Government
7,0.42424242424242425,0.4666666666666667,0.4444444444444445,30.0,0.4666666666666667,Financial
8,0.6666666666666666,0.8,0.7272727272727272,30.0,0.8,Social
9,0.7333333333333333,0.88,0.8,25.0,0.88,Science
10,0.7,0.7,0.7,30.0,0.7,Telephony
11,0.6896551724137931,0.6666666666666666,0.6779661016949153,30.0,0.6666666666666666,Transportation
12,0.7941176470588235,0.9,0.84375,30.0,0.9,Sports
13,0.875,0.84,0.8571428571428572,25.0,0.84,Security
14,0.35,0.28,0.3111111111111111,25.0,0.28,Email
15,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0,0.8666666666666667,Search
16,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76,Travel
17,0.8928571428571429,1.0,0.9433962264150945,25.0,1.0,Reference
18,0.42857142857142855,0.4444444444444444,0.43636363636363634,27.0,0.4444444444444444,Advertising
19,0.7307692307692307,0.6333333333333333,0.6785714285714285,30.0,0.6333333333333333,Video
20,0.46153846153846156,0.6428571428571429,0.537313432835821,28.0,0.6428571428571429,Data
21,0.64,0.5714285714285714,0.6037735849056605,28.0,0.5714285714285714,Bitcoin
22,0.5217391304347826,0.4,0.4528301886792453,30.0,0.4,Games
23,0.9166666666666666,0.7857142857142857,0.8461538461538461,28.0,0.7857142857142857,Project Management
24,0.76,0.6333333333333333,0.6909090909090909,30.0,0.6333333333333333,Education
25,0.3611111111111111,0.43333333333333335,0.39393939393939387,30.0,0.43333333333333335,Database
26,0.8095238095238095,0.6296296296296297,0.7083333333333334,27.0,0.6296296296296297,Cloud
27,0.8461538461538461,0.8148148148148148,0.830188679245283,27.0,0.8148148148148148,Music
28,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0,0.8148148148148148,Photos
29,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0,0.7333333333333333,Other
accuracy,0.6892382103990327,0.6892382103990327,0.6892382103990327,0.6892382103990327,,accuracy
macro avg,0.6962601254712181,0.6910652557319223,0.6893578867085428,827.0,,macro avg
weighted avg,0.6940007205159492,0.6892382103990327,0.6874123765422097,827.0,,weighted avg
