Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7272727272727273,0.5714285714285714,0.64,28.0,0.5714285714285714,Mapping
1,1.0,0.09090909090909091,0.16666666666666669,22.0,0.09090909090909091,eCommerce
2,1.0,0.3181818181818182,0.4827586206896552,22.0,0.3181818181818182,Messaging
3,0.7,0.3181818181818182,0.4375,22.0,0.3181818181818182,Tools
4,0.7407407407407407,0.9090909090909091,0.8163265306122449,22.0,0.9090909090909091,Payments
5,0.7666666666666667,0.92,0.8363636363636363,25.0,0.92,Enterprise
6,0.6923076923076923,0.9,0.7826086956521738,20.0,0.9,Government
7,0.43243243243243246,0.64,0.5161290322580645,25.0,0.64,Financial
8,0.875,0.28,0.42424242424242425,25.0,0.28,Social
9,0.5294117647058824,0.36,0.42857142857142855,25.0,0.36,Science
10,0.7037037037037037,0.95,0.8085106382978724,20.0,0.95,Telephony
11,0.6206896551724138,0.72,0.6666666666666666,25.0,0.72,Transportation
12,0.6944444444444444,0.8928571428571429,0.78125,28.0,0.8928571428571429,Sports
13,0.375,0.2,0.26086956521739135,30.0,0.2,Security
14,0.8,0.4,0.5333333333333333,20.0,0.4,Email
15,0.782608695652174,0.8181818181818182,0.8,22.0,0.8181818181818182,Search
16,0.7,0.7,0.7,20.0,0.7,Travel
17,0.6,0.2,0.3,30.0,0.2,Reference
18,0.7307692307692307,0.76,0.7450980392156863,25.0,0.76,Advertising
19,0.46875,0.5,0.4838709677419355,30.0,0.5,Video
20,0.7333333333333333,0.55,0.6285714285714286,20.0,0.55,Data
21,0.5588235294117647,0.8636363636363636,0.6785714285714287,22.0,0.8636363636363636,Bitcoin
22,0.5,0.6333333333333333,0.5588235294117647,30.0,0.6333333333333333,Games
23,1.0,0.05,0.09523809523809523,20.0,0.05,Project Management
24,0.72,0.8181818181818182,0.7659574468085107,22.0,0.8181818181818182,Education
25,0.47058823529411764,0.8,0.5925925925925927,30.0,0.8,Database
26,0.71875,0.92,0.8070175438596492,25.0,0.92,Cloud
27,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8,Music
28,0.7,0.35,0.4666666666666667,20.0,0.35,Photos
29,1.0,0.12,0.21428571428571425,25.0,0.12,Other
30,0.5416666666666666,0.8666666666666667,0.6666666666666667,30.0,0.8666666666666667,Stocks
31,0.5666666666666667,0.68,0.6181818181818183,25.0,0.68,Application Development
32,0.5714285714285714,0.8,0.6666666666666666,25.0,0.8,Internet of Things
33,0.8333333333333334,0.75,0.7894736842105262,20.0,0.75,Banking
34,0.0,0.0,0.0,28.0,0.0,Backend
35,0.35714285714285715,0.3333333333333333,0.3448275862068965,30.0,0.3333333333333333,Medical
36,0.3142857142857143,0.39285714285714285,0.34920634920634924,28.0,0.39285714285714285,Shipping
37,0.7272727272727273,0.2857142857142857,0.4102564102564102,28.0,0.2857142857142857,Weather
38,0.7777777777777778,0.9545454545454546,0.8571428571428572,22.0,0.9545454545454546,Events
39,0.4666666666666667,0.4666666666666667,0.4666666666666667,30.0,0.4666666666666667,Analytics
40,0.7931034482758621,0.8214285714285714,0.8070175438596492,28.0,0.8214285714285714,Storage
41,0.7857142857142857,1.0,0.88,22.0,1.0,Media
42,0.6818181818181818,0.75,0.7142857142857143,20.0,0.75,Office
43,0.4864864864864865,0.6,0.5373134328358209,30.0,0.6,Chat
44,0.12790697674418605,0.36666666666666664,0.1896551724137931,30.0,0.36666666666666664,News Services
45,0.5333333333333333,0.5714285714285714,0.5517241379310344,28.0,0.5714285714285714,Entertainment
46,0.625,0.8928571428571429,0.7352941176470589,28.0,0.8928571428571429,Real Estate
47,0.5675675675675675,0.75,0.6461538461538462,28.0,0.75,Images
48,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546,File Sharing
49,0.6,0.3,0.4,30.0,0.3,Domains
accuracy,0.5886581469648562,0.5886581469648562,0.5886581469648562,0.5886581469648562,,accuracy
macro avg,0.6495928116735289,0.5978138528138528,0.5761501049601654,1252.0,,macro avg
weighted avg,0.6304021847132272,0.5886581469648562,0.5644595702821327,1252.0,,weighted avg
