Categories,Model,Feature,Accuracy,F1-Score,Top-1,Top-3,Top-5
10,LogisticRegression-tfidf,tfidf,0.8233,0.8227,0.8233,0.97,0.9967
10,RandomForest-tfidf,tfidf,0.7533,0.7431,0.7533,0.92,0.9633
10,XGBoost-tfidf,tfidf,0.7667,0.7683,0.7667,0.94,0.9867
10,LogisticRegression-sbert,sbert,0.84,0.8354,0.84,0.98,0.9933
10,RandomForest-sbert,sbert,0.8067,0.8031,0.8067,0.9367,0.9833
10,XGBoost-sbert,sbert,0.7933,0.7931,0.7933,0.9667,0.9933
20,LogisticRegression-tfidf,tfidf,0.7418,0.7425,0.7418,0.9099,0.9636
20,RandomForest-tfidf,tfidf,0.6568,0.6414,0.6568,0.8354,0.8821
20,XGBoost-tfidf,tfidf,0.6638,0.6645,0.6638,0.8631,0.9168
20,LogisticRegression-sbert,sbert,0.747,0.7445,0.747,0.9151,0.9705
20,RandomForest-sbert,sbert,0.695,0.6893,0.695,0.8752,0.9255
20,XGBoost-sbert,sbert,0.7418,0.7435,0.7418,0.9099,0.9705
30,LogisticRegression-tfidf,tfidf,0.7449,0.7475,0.7449,0.8996,0.9407
30,RandomForest-tfidf,tfidf,0.6191,0.6002,0.6191,0.786,0.8501
30,XGBoost-tfidf,tfidf,0.6892,0.6894,0.6892,0.8513,0.9057
30,LogisticRegression-sbert,sbert,0.74,0.7298,0.74,0.9069,0.9432
30,RandomForest-sbert,sbert,0.6614,0.6332,0.6614,0.8247,0.8827
30,XGBoost-sbert,sbert,0.7146,0.7153,0.7146,0.8827,0.9395
40,LogisticRegression-tfidf,tfidf,0.75,0.7569,0.75,0.8926,0.9297
40,RandomForest-tfidf,tfidf,0.6084,0.5965,0.6084,0.7662,0.8203
40,XGBoost-tfidf,tfidf,0.7091,0.7132,0.7091,0.8546,0.8954
40,LogisticRegression-sbert,sbert,0.7158,0.7113,0.7158,0.8783,0.9268
40,RandomForest-sbert,sbert,0.6293,0.6123,0.6293,0.7909,0.8555
40,XGBoost-sbert,sbert,0.6977,0.7005,0.6977,0.8707,0.9249
50,LogisticRegression-tfidf,tfidf,0.734,0.7429,0.734,0.8874,0.9257
50,RandomForest-tfidf,tfidf,0.5887,0.5762,0.5887,0.7356,0.7804
50,XGBoost-tfidf,tfidf,0.6949,0.7034,0.6949,0.8371,0.8882
50,LogisticRegression-sbert,sbert,0.7133,0.7085,0.7133,0.881,0.9297
50,RandomForest-sbert,sbert,0.6454,0.6315,0.6454,0.8083,0.8554
50,XGBoost-sbert,sbert,0.6941,0.7034,0.6941,0.8674,0.9129
