Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7727272727272727,0.6071428571428571,0.68,28.0,0.6071428571428571,Mapping
1,0.5,0.7727272727272727,0.6071428571428571,22.0,0.7727272727272727,Social
2,0.6,0.4090909090909091,0.4864864864864865,22.0,0.4090909090909091,eCommerce
3,0.46153846153846156,0.5454545454545454,0.4999999999999999,22.0,0.5454545454545454,Messaging
4,0.782608695652174,0.8181818181818182,0.8,22.0,0.8181818181818182,Tools
5,0.8928571428571429,1.0,0.9433962264150945,25.0,1.0,Payments
6,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95,Enterprise
7,0.6206896551724138,0.72,0.6666666666666666,25.0,0.72,Government
8,0.631578947368421,0.48,0.5454545454545454,25.0,0.48,Financial
9,0.5517241379310345,0.64,0.5925925925925927,25.0,0.64,Science
10,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9,Telephony
11,0.6923076923076923,0.72,0.7058823529411765,25.0,0.72,Video
12,0.7878787878787878,0.9285714285714286,0.8524590163934426,28.0,0.9285714285714286,Search
13,0.5,0.36666666666666664,0.423076923076923,30.0,0.36666666666666664,Advertising
14,0.7272727272727273,0.8,0.761904761904762,20.0,0.8,Reference
15,0.95,0.8636363636363636,0.9047619047619048,22.0,0.8636363636363636,Travel
16,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8,Transportation
17,0.5416666666666666,0.43333333333333335,0.4814814814814815,30.0,0.43333333333333335,Email
18,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84,Security
19,0.6842105263157895,0.8666666666666667,0.7647058823529413,30.0,0.8666666666666667,Sports
20,0.8,0.8,0.8000000000000002,20.0,0.8,Photos
21,0.8260869565217391,0.8636363636363636,0.8444444444444444,22.0,0.8636363636363636,Music
22,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667,Cloud
23,0.6875,0.55,0.6111111111111112,20.0,0.55,Other
24,0.8235294117647058,0.6363636363636364,0.717948717948718,22.0,0.6363636363636364,Database
25,0.8,0.6666666666666666,0.7272727272727272,30.0,0.6666666666666666,Education
26,0.8214285714285714,0.92,0.8679245283018867,25.0,0.92,Project Management
27,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Games
28,0.7272727272727273,0.8,0.761904761904762,20.0,0.8,Bitcoin
29,0.4,0.4,0.4000000000000001,25.0,0.4,Data
30,0.6111111111111112,0.7333333333333333,0.6666666666666666,30.0,0.7333333333333333,Analytics
31,0.7241379310344828,0.84,0.7777777777777777,25.0,0.84,Events
32,0.9047619047619048,0.76,0.8260869565217391,25.0,0.76,Weather
33,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8,Shipping
34,0.5454545454545454,0.42857142857142855,0.4799999999999999,28.0,0.42857142857142855,Medical
35,0.6875,0.7333333333333333,0.7096774193548386,30.0,0.7333333333333333,Stocks
36,0.3684210526315789,0.25,0.2978723404255319,28.0,0.25,Banking
37,0.7,0.5,0.5833333333333334,28.0,0.5,Backend
38,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091,Internet of Things
39,0.6,0.6,0.6,30.0,0.6,Application Development
40,0.896551724137931,0.9285714285714286,0.912280701754386,28.0,0.9285714285714286,Storage
41,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546,Media
42,0.7083333333333334,0.85,0.7727272727272727,20.0,0.85,Office
43,0.6571428571428571,0.7666666666666667,0.7076923076923077,30.0,0.7666666666666667,Chat
44,0.375,0.3,0.33333333333333326,30.0,0.3,News Services
45,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0,0.7857142857142857,Entertainment
46,0.7419354838709677,0.8214285714285714,0.7796610169491526,28.0,0.8214285714285714,Real Estate
47,0.7307692307692307,0.6785714285714286,0.7037037037037038,28.0,0.6785714285714286,Images
48,0.9565217391304348,1.0,0.9777777777777777,22.0,1.0,File Sharing
49,0.5588235294117647,0.6333333333333333,0.59375,30.0,0.6333333333333333,Domains
accuracy,0.7092651757188498,0.7092651757188498,0.7092651757188498,0.7092651757188498,,accuracy
macro avg,0.7163893823441666,0.7197593073593073,0.7133546334094683,1252.0,,macro avg
weighted avg,0.7068201130483495,0.7092651757188498,0.7032550267664832,1252.0,,weighted avg
