Class,precision,recall,f1-score,support,accuracy,category_name
0,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0,0.7857142857142857,Mapping
1,0.6153846153846154,0.7272727272727273,0.6666666666666667,22.0,0.7272727272727273,Social
2,0.6666666666666666,0.6363636363636364,0.6511627906976744,22.0,0.6363636363636364,eCommerce
3,0.3939393939393939,0.5909090909090909,0.4727272727272727,22.0,0.5909090909090909,Messaging
4,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,Tools
5,0.92,0.92,0.92,25.0,0.92,Payments
6,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95,Enterprise
7,0.6956521739130435,0.64,0.6666666666666666,25.0,0.64,Government
8,0.8235294117647058,0.56,0.6666666666666666,25.0,0.56,Financial
9,0.6842105263157895,0.52,0.5909090909090909,25.0,0.52,Science
10,0.8636363636363636,0.95,0.9047619047619048,20.0,0.95,Telephony
11,0.8,0.8,0.8000000000000002,25.0,0.8,Video
12,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,0.9285714285714286,Search
13,0.40625,0.43333333333333335,0.41935483870967744,30.0,0.43333333333333335,Advertising
14,0.9473684210526315,0.9,0.9230769230769231,20.0,0.9,Reference
15,0.9444444444444444,0.7727272727272727,0.85,22.0,0.7727272727272727,Travel
16,1.0,0.8,0.888888888888889,20.0,0.8,Transportation
17,0.6060606060606061,0.6666666666666666,0.6349206349206349,30.0,0.6666666666666666,Email
18,1.0,0.72,0.8372093023255813,25.0,0.72,Security
19,0.8064516129032258,0.8333333333333334,0.819672131147541,30.0,0.8333333333333334,Sports
20,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Photos
21,0.7307692307692307,0.8636363636363636,0.7916666666666666,22.0,0.8636363636363636,Music
22,0.696969696969697,0.7666666666666667,0.7301587301587302,30.0,0.7666666666666667,Cloud
23,0.7272727272727273,0.8,0.761904761904762,20.0,0.8,Other
24,0.8695652173913043,0.9090909090909091,0.888888888888889,22.0,0.9090909090909091,Database
25,0.8461538461538461,0.7333333333333333,0.7857142857142856,30.0,0.7333333333333333,Education
26,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92,Project Management
27,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8,Games
28,0.7391304347826086,0.85,0.7906976744186046,20.0,0.85,Bitcoin
29,0.6842105263157895,0.52,0.5909090909090909,25.0,0.52,Data
30,0.6341463414634146,0.8666666666666667,0.7323943661971831,30.0,0.8666666666666667,Analytics
31,0.8518518518518519,0.92,0.8846153846153846,25.0,0.92,Events
32,0.9130434782608695,0.84,0.8749999999999999,25.0,0.84,Weather
33,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8,Shipping
34,0.56,0.5,0.5283018867924528,28.0,0.5,Medical
35,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334,Stocks
36,0.7272727272727273,0.5714285714285714,0.64,28.0,0.5714285714285714,Banking
37,0.7916666666666666,0.6785714285714286,0.7307692307692307,28.0,0.6785714285714286,Backend
38,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546,Internet of Things
39,0.6774193548387096,0.7,0.6885245901639343,30.0,0.7,Application Development
40,0.9,0.9642857142857143,0.9310344827586207,28.0,0.9642857142857143,Storage
41,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091,Media
42,0.7916666666666666,0.95,0.8636363636363635,20.0,0.95,Office
43,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0,0.7333333333333333,Chat
44,0.3333333333333333,0.4,0.3636363636363636,30.0,0.4,News Services
45,0.88,0.7857142857142857,0.830188679245283,28.0,0.7857142857142857,Entertainment
46,0.8275862068965517,0.8571428571428571,0.8421052631578947,28.0,0.8571428571428571,Real Estate
47,0.75,0.8571428571428571,0.7999999999999999,28.0,0.8571428571428571,Images
48,0.9130434782608695,0.9545454545454546,0.9333333333333332,22.0,0.9545454545454546,File Sharing
49,0.6666666666666666,0.6,0.631578947368421,30.0,0.6,Domains
accuracy,0.7659744408945687,0.7659744408945687,0.7659744408945687,0.7659744408945687,,accuracy
macro avg,0.785548043176926,0.7746502164502165,0.7759296271083516,1252.0,,macro avg
weighted avg,0.7766311491413149,0.7659744408945687,0.767200057595157,1252.0,,weighted avg
