Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7692307692307693,0.7142857142857143,0.7407407407407408,28.0,0.7142857142857143,Mapping
1,0.68,0.7727272727272727,0.7234042553191491,22.0,0.7727272727272727,Social
2,0.75,0.5454545454545454,0.631578947368421,22.0,0.5454545454545454,eCommerce
3,0.5833333333333334,0.6363636363636364,0.6086956521739131,22.0,0.6363636363636364,Messaging
4,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091,Tools
5,0.9583333333333334,0.92,0.9387755102040817,25.0,0.92,Payments
6,0.8571428571428571,0.9,0.8780487804878048,20.0,0.9,Enterprise
7,0.7037037037037037,0.76,0.7307692307692308,25.0,0.76,Government
8,0.6363636363636364,0.56,0.5957446808510639,25.0,0.56,Financial
9,0.6666666666666666,0.56,0.6086956521739131,25.0,0.56,Science
10,0.9047619047619048,0.95,0.9268292682926829,20.0,0.95,Telephony
11,0.8148148148148148,0.88,0.8461538461538461,25.0,0.88,Video
12,0.8888888888888888,0.8571428571428571,0.8727272727272727,28.0,0.8571428571428571,Search
13,0.4117647058823529,0.4666666666666667,0.43749999999999994,30.0,0.4666666666666667,Advertising
14,0.8947368421052632,0.85,0.8717948717948718,20.0,0.85,Reference
15,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727,Travel
16,0.9411764705882353,0.8,0.8648648648648648,20.0,0.8,Transportation
17,0.7307692307692307,0.6333333333333333,0.6785714285714285,30.0,0.6333333333333333,Email
18,0.9545454545454546,0.84,0.8936170212765958,25.0,0.84,Security
19,0.7428571428571429,0.8666666666666667,0.8,30.0,0.8666666666666667,Sports
20,0.8947368421052632,0.85,0.8717948717948718,20.0,0.85,Photos
21,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0,0.9090909090909091,Music
22,0.7058823529411765,0.8,0.7500000000000001,30.0,0.8,Cloud
23,0.8666666666666667,0.65,0.7428571428571429,20.0,0.65,Other
24,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091,Database
25,0.92,0.7666666666666667,0.8363636363636363,30.0,0.7666666666666667,Education
26,0.8846153846153846,0.92,0.9019607843137256,25.0,0.92,Project Management
27,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Games
28,0.6666666666666666,0.8,0.7272727272727272,20.0,0.8,Bitcoin
29,0.5882352941176471,0.4,0.4761904761904762,25.0,0.4,Data
30,0.6923076923076923,0.9,0.7826086956521738,30.0,0.9,Analytics
31,0.8518518518518519,0.92,0.8846153846153846,25.0,0.92,Events
32,1.0,0.76,0.8636363636363636,25.0,0.76,Weather
33,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Shipping
34,0.5172413793103449,0.5357142857142857,0.5263157894736843,28.0,0.5357142857142857,Medical
35,0.8387096774193549,0.8666666666666667,0.8524590163934426,30.0,0.8666666666666667,Stocks
36,0.6190476190476191,0.4642857142857143,0.5306122448979592,28.0,0.4642857142857143,Banking
37,0.7407407407407407,0.7142857142857143,0.7272727272727273,28.0,0.7142857142857143,Backend
38,0.9166666666666666,1.0,0.9565217391304348,22.0,1.0,Internet of Things
39,0.7419354838709677,0.7666666666666667,0.7540983606557377,30.0,0.7666666666666667,Application Development
40,0.8,1.0,0.888888888888889,28.0,1.0,Storage
41,0.875,0.9545454545454546,0.9130434782608695,22.0,0.9545454545454546,Media
42,0.8333333333333334,1.0,0.9090909090909091,20.0,1.0,Office
43,0.78125,0.8333333333333334,0.8064516129032259,30.0,0.8333333333333334,Chat
44,0.4,0.4666666666666667,0.4307692307692308,30.0,0.4666666666666667,News Services
45,0.8461538461538461,0.7857142857142857,0.8148148148148148,28.0,0.7857142857142857,Entertainment
46,0.8518518518518519,0.8214285714285714,0.8363636363636364,28.0,0.8214285714285714,Real Estate
47,0.71875,0.8214285714285714,0.7666666666666666,28.0,0.8214285714285714,Images
48,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546,File Sharing
49,0.7333333333333333,0.7333333333333333,0.7333333333333333,30.0,0.7333333333333333,Domains
accuracy,0.7771565495207667,0.7771565495207667,0.7771565495207667,0.7771565495207667,,accuracy
macro avg,0.791275055500855,0.7839584415584414,0.7838709804478796,1252.0,,macro avg
weighted avg,0.7820971549942926,0.7771565495207667,0.7759090737301155,1252.0,,weighted avg
