,precision,recall,f1-score,support
Category_0,0.7924528301886793,0.7636363636363637,0.7777777777777778,55.0
Category_1,0.6444444444444445,0.6444444444444445,0.6444444444444445,45.0
Category_2,0.574468085106383,0.6,0.5869565217391305,45.0
Category_3,0.84,0.5,0.6268656716417911,42.0
Category_4,0.7413793103448276,0.9555555555555556,0.8349514563106797,45.0
Category_5,0.8421052631578947,0.96,0.8971962616822429,50.0
Category_6,0.8837209302325582,0.95,0.9156626506024096,40.0
Category_7,0.6666666666666666,0.68,0.6732673267326733,50.0
Category_8,0.45714285714285713,0.32,0.37647058823529417,50.0
Category_9,0.5925925925925926,0.64,0.6153846153846153,50.0
Category_10,0.9743589743589743,0.95,0.9620253164556962,40.0
Category_11,0.7547169811320755,0.8,0.7766990291262137,50.0
Category_12,0.9090909090909091,0.9090909090909091,0.9090909090909091,55.0
Category_13,0.5102040816326531,0.4166666666666667,0.45871559633027525,60.0
Category_14,0.7631578947368421,0.725,0.7435897435897436,40.0
Category_15,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
Category_16,0.7777777777777778,0.875,0.823529411764706,40.0
Category_17,0.75,0.45,0.5625000000000001,60.0
Category_18,0.8490566037735849,0.9,0.8737864077669903,50.0
Category_19,0.7575757575757576,0.8333333333333334,0.7936507936507938,60.0
Category_20,0.6326530612244898,0.775,0.6966292134831462,40.0
Category_21,0.6538461538461539,0.7555555555555555,0.7010309278350516,45.0
Category_22,0.7391304347826086,0.85,0.7906976744186046,60.0
Category_23,0.6875,0.55,0.6111111111111112,40.0
Category_24,0.7735849056603774,0.9111111111111111,0.8367346938775511,45.0
Category_25,0.8620689655172413,0.8333333333333334,0.847457627118644,60.0
Category_26,0.8,0.88,0.8380952380952381,50.0
Category_27,0.975609756097561,1.0,0.9876543209876543,40.0
Category_28,0.6666666666666666,0.75,0.7058823529411765,40.0
Category_29,0.8936170212765957,0.9767441860465116,0.9333333333333332,43.0
Category_30,0.7878787878787878,0.8666666666666667,0.8253968253968254,60.0
Category_31,0.78,0.78,0.78,50.0
Category_32,0.8235294117647058,0.84,0.8316831683168315,50.0
Category_33,0.972972972972973,0.9,0.935064935064935,40.0
Category_34,0.325,0.23636363636363636,0.27368421052631575,55.0
Category_35,0.7464788732394366,0.8983050847457628,0.8153846153846154,59.0
Category_36,0.6521739130434783,0.5454545454545454,0.594059405940594,55.0
Category_37,0.8571428571428571,0.8372093023255814,0.8470588235294119,43.0
Category_38,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Category_39,1.0,1.0,1.0,60.0
Category_40,0.8928571428571429,0.9090909090909091,0.9009009009009009,55.0
Category_41,0.9523809523809523,0.8888888888888888,0.9195402298850575,45.0
Category_42,0.8,0.8,0.8000000000000002,40.0
Category_43,0.7164179104477612,0.8,0.7559055118110236,60.0
Category_44,0.4864864864864865,0.3,0.3711340206185567,60.0
Category_45,0.9130434782608695,0.7636363636363637,0.8316831683168316,55.0
Category_46,0.8524590163934426,0.9454545454545454,0.8965517241379309,55.0
Category_47,0.7096774193548387,0.8,0.7521367521367521,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.6986301369863014,0.85,0.7669172932330827,60.0
accuracy,0.7730210016155089,0.7730210016155089,0.7730210016155089,0.7730210016155089
macro avg,0.7727813498117283,0.7791997169169026,0.7714524420528655,2476.0
weighted avg,0.7671395875473432,0.7730210016155089,0.7653851552622479,2476.0
