,precision,recall,f1-score,support
Category_0,0.8571428571428571,0.7636363636363637,0.8076923076923076,55.0
Category_1,0.6521739130434783,0.6666666666666666,0.6593406593406593,45.0
Category_2,0.5918367346938775,0.6444444444444445,0.6170212765957447,45.0
Category_3,0.6578947368421053,0.5952380952380952,0.625,42.0
Category_4,0.8775510204081632,0.9555555555555556,0.9148936170212767,45.0
Category_5,0.9183673469387755,0.9,0.9090909090909091,50.0
Category_6,0.9047619047619048,0.95,0.9268292682926829,40.0
Category_7,0.7446808510638298,0.7,0.7216494845360825,50.0
Category_8,0.5531914893617021,0.52,0.536082474226804,50.0
Category_9,0.7317073170731707,0.6,0.6593406593406594,50.0
Category_10,0.95,0.95,0.9500000000000001,40.0
Category_11,0.7959183673469388,0.78,0.7878787878787878,50.0
Category_12,0.9122807017543859,0.9454545454545454,0.9285714285714285,55.0
Category_13,0.725,0.48333333333333334,0.58,60.0
Category_14,0.825,0.825,0.825,40.0
Category_15,0.9302325581395349,0.8888888888888888,0.9090909090909092,45.0
Category_16,0.85,0.85,0.85,40.0
Category_17,0.8076923076923077,0.7,0.75,60.0
Category_18,0.8723404255319149,0.82,0.8453608247422681,50.0
Category_19,0.7571428571428571,0.8833333333333333,0.8153846153846154,60.0
Category_20,0.6274509803921569,0.8,0.7032967032967032,40.0
Category_21,0.7058823529411765,0.8,0.7500000000000001,45.0
Category_22,0.7538461538461538,0.8166666666666667,0.784,60.0
Category_23,0.7317073170731707,0.75,0.7407407407407408,40.0
Category_24,0.875,0.9333333333333333,0.9032258064516129,45.0
Category_25,0.7941176470588235,0.9,0.84375,60.0
Category_26,0.8867924528301887,0.94,0.912621359223301,50.0
Category_27,1.0,1.0,1.0,40.0
Category_28,0.7380952380952381,0.775,0.7560975609756099,40.0
Category_29,0.9333333333333333,0.9767441860465116,0.9545454545454545,43.0
Category_30,0.8125,0.8666666666666667,0.8387096774193549,60.0
Category_31,0.8863636363636364,0.78,0.8297872340425532,50.0
Category_32,0.8518518518518519,0.92,0.8846153846153846,50.0
Category_33,0.926829268292683,0.95,0.9382716049382716,40.0
Category_34,0.39473684210526316,0.2727272727272727,0.3225806451612903,55.0
Category_35,0.7183098591549296,0.864406779661017,0.7846153846153846,59.0
Category_36,0.66,0.6,0.6285714285714286,55.0
Category_37,0.8478260869565217,0.9069767441860465,0.8764044943820224,43.0
Category_38,0.9574468085106383,1.0,0.9782608695652174,45.0
Category_39,0.967741935483871,1.0,0.9836065573770492,60.0
Category_40,0.9122807017543859,0.9454545454545454,0.9285714285714285,55.0
Category_41,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Category_42,0.7804878048780488,0.8,0.7901234567901235,40.0
Category_43,0.8135593220338984,0.8,0.8067226890756303,60.0
Category_44,0.44680851063829785,0.35,0.3925233644859813,60.0
Category_45,0.8461538461538461,0.8,0.8224299065420562,55.0
Category_46,0.9259259259259259,0.9090909090909091,0.9174311926605504,55.0
Category_47,0.8431372549019608,0.7818181818181819,0.8113207547169811,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.684931506849315,0.8333333333333334,0.7518796992481204,60.0
accuracy,0.8025040387722132,0.8025040387722132,0.8025040387722132,0.8025040387722132
macro avg,0.8029562927011754,0.8089865080218253,0.8037065467404848,2476.0
weighted avg,0.798393814453805,0.8025040387722132,0.7979661041611423,2476.0
