,precision,recall,f1-score,support
Category_0,0.7962962962962963,0.7818181818181819,0.7889908256880734,55.0
Category_1,0.6739130434782609,0.6888888888888889,0.6813186813186812,45.0
Category_2,0.696969696969697,0.5111111111111111,0.5897435897435898,45.0
Category_3,0.6578947368421053,0.5952380952380952,0.625,42.0
Category_4,0.8490566037735849,1.0,0.9183673469387755,45.0
Category_5,0.8703703703703703,0.94,0.9038461538461539,50.0
Category_6,0.9024390243902439,0.925,0.9135802469135802,40.0
Category_7,0.6808510638297872,0.64,0.6597938144329897,50.0
Category_8,0.5333333333333333,0.48,0.505263157894737,50.0
Category_9,0.6296296296296297,0.68,0.6538461538461539,50.0
Category_10,1.0,0.95,0.9743589743589743,40.0
Category_11,0.803921568627451,0.82,0.8118811881188118,50.0
Category_12,0.9107142857142857,0.9272727272727272,0.918918918918919,55.0
Category_13,0.6086956521739131,0.4666666666666667,0.5283018867924527,60.0
Category_14,0.75,0.75,0.75,40.0
Category_15,0.9512195121951219,0.8666666666666667,0.9069767441860465,45.0
Category_16,0.8095238095238095,0.85,0.8292682926829269,40.0
Category_17,0.7755102040816326,0.6333333333333333,0.6972477064220183,60.0
Category_18,0.9,0.9,0.9,50.0
Category_19,0.7313432835820896,0.8166666666666667,0.7716535433070867,60.0
Category_20,0.7209302325581395,0.775,0.7469879518072289,40.0
Category_21,0.7058823529411765,0.8,0.7500000000000001,45.0
Category_22,0.7121212121212122,0.7833333333333333,0.746031746031746,60.0
Category_23,0.7647058823529411,0.65,0.7027027027027027,40.0
Category_24,0.7924528301886793,0.9333333333333333,0.8571428571428572,45.0
Category_25,0.803030303030303,0.8833333333333333,0.8412698412698413,60.0
Category_26,0.8867924528301887,0.94,0.912621359223301,50.0
Category_27,0.975,0.975,0.975,40.0
Category_28,0.6923076923076923,0.675,0.6835443037974683,40.0
Category_29,0.9111111111111111,0.9534883720930233,0.9318181818181819,43.0
Category_30,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
Category_31,0.84,0.84,0.8399999999999999,50.0
Category_32,0.86,0.86,0.8599999999999999,50.0
Category_33,0.9473684210526315,0.9,0.9230769230769231,40.0
Category_34,0.3611111111111111,0.23636363636363636,0.2857142857142857,55.0
Category_35,0.782608695652174,0.9152542372881356,0.8437499999999999,59.0
Category_36,0.5714285714285714,0.5818181818181818,0.5765765765765765,55.0
Category_37,0.851063829787234,0.9302325581395349,0.888888888888889,43.0
Category_38,0.9574468085106383,1.0,0.9782608695652174,45.0
Category_39,0.967741935483871,1.0,0.9836065573770492,60.0
Category_40,0.8387096774193549,0.9454545454545454,0.8888888888888888,55.0
Category_41,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Category_42,0.775,0.775,0.775,40.0
Category_43,0.8275862068965517,0.8,0.8135593220338982,60.0
Category_44,0.4915254237288136,0.48333333333333334,0.48739495798319327,60.0
Category_45,0.8913043478260869,0.7454545454545455,0.8118811881188119,55.0
Category_46,0.8524590163934426,0.9454545454545454,0.8965517241379309,55.0
Category_47,0.8490566037735849,0.8181818181818182,0.8333333333333334,55.0
Category_48,1.0,0.9743589743589743,0.9870129870129869,39.0
Category_49,0.75,0.8,0.7741935483870969,60.0
accuracy,0.7936187399030694,0.7936187399030694,0.7936187399030694,0.7936187399030694
macro avg,0.7938533413826283,0.7986189194898298,0.7941711459961421,2476.0
weighted avg,0.7885309367377951,0.7936187399030694,0.7889298201383602,2476.0
