,precision,recall,f1-score,support
Category_0,0.8048780487804879,0.6,0.6875,55.0
Category_1,0.8292682926829268,0.7555555555555555,0.7906976744186047,45.0
Category_2,0.7142857142857143,0.6666666666666666,0.689655172413793,45.0
Category_3,0.7380952380952381,0.7380952380952381,0.7380952380952381,42.0
Category_4,0.8979591836734694,0.9777777777777777,0.9361702127659575,45.0
Category_5,0.9148936170212766,0.86,0.8865979381443299,50.0
Category_6,0.8974358974358975,0.875,0.8860759493670887,40.0
Category_7,0.7636363636363637,0.84,0.8000000000000002,50.0
Category_8,0.6590909090909091,0.58,0.6170212765957446,50.0
Category_9,0.7111111111111111,0.64,0.6736842105263158,50.0
Category_10,0.9487179487179487,0.925,0.9367088607594937,40.0
Category_11,0.8571428571428571,0.72,0.782608695652174,50.0
Category_12,0.8305084745762712,0.8909090909090909,0.8596491228070176,55.0
Category_13,0.4074074074074074,0.55,0.46808510638297873,60.0
Category_14,0.8055555555555556,0.725,0.7631578947368423,40.0
Category_15,0.9302325581395349,0.8888888888888888,0.9090909090909092,45.0
Category_16,0.8571428571428571,0.9,0.8780487804878048,40.0
Category_17,0.7407407407407407,0.6666666666666666,0.7017543859649122,60.0
Category_18,0.8571428571428571,0.84,0.8484848484848485,50.0
Category_19,0.6984126984126984,0.7333333333333333,0.7154471544715446,60.0
Category_20,0.8421052631578947,0.8,0.8205128205128205,40.0
Category_21,0.8444444444444444,0.8444444444444444,0.8444444444444444,45.0
Category_22,0.7272727272727273,0.8,0.761904761904762,60.0
Category_23,0.8484848484848485,0.7,0.7671232876712328,40.0
Category_24,0.8163265306122449,0.8888888888888888,0.851063829787234,45.0
Category_25,0.8148148148148148,0.7333333333333333,0.7719298245614035,60.0
Category_26,0.8958333333333334,0.86,0.8775510204081632,50.0
Category_27,0.972972972972973,0.9,0.935064935064935,40.0
Category_28,0.7804878048780488,0.8,0.7901234567901235,40.0
Category_29,1.0,0.9302325581395349,0.963855421686747,43.0
Category_30,0.8,0.8666666666666667,0.832,60.0
Category_31,0.8301886792452831,0.88,0.8543689320388349,50.0
Category_32,0.9130434782608695,0.84,0.8749999999999999,50.0
Category_33,1.0,0.95,0.9743589743589743,40.0
Category_34,0.3,0.38181818181818183,0.33599999999999997,55.0
Category_35,0.7076923076923077,0.7796610169491526,0.7419354838709677,59.0
Category_36,0.6,0.5454545454545454,0.5714285714285713,55.0
Category_37,0.8666666666666667,0.6046511627906976,0.7123287671232877,43.0
Category_38,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Category_39,0.8823529411764706,1.0,0.9375,60.0
Category_40,0.84,0.7636363636363637,0.8000000000000002,55.0
Category_41,0.9534883720930233,0.9111111111111111,0.9318181818181819,45.0
Category_42,0.8048780487804879,0.825,0.8148148148148149,40.0
Category_43,0.6052631578947368,0.7666666666666667,0.676470588235294,60.0
Category_44,0.31666666666666665,0.31666666666666665,0.31666666666666665,60.0
Category_45,0.7272727272727273,0.7272727272727273,0.7272727272727273,55.0
Category_46,0.8181818181818182,0.8181818181818182,0.8181818181818182,55.0
Category_47,0.7692307692307693,0.7272727272727273,0.7476635514018691,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.6811594202898551,0.7833333333333333,0.7286821705426356,60.0
accuracy,0.7730210016155089,0.7730210016155089,0.7730210016155089,0.7730210016155089
macro avg,0.7946453746582156,0.7814548197215125,0.7856199039791789,2476.0
weighted avg,0.7820257484999649,0.7730210016155089,0.7750086347055063,2476.0
