,precision,recall,f1-score,support
Category_0,0.7608695652173914,0.6363636363636364,0.693069306930693,55.0
Category_1,0.8,0.7111111111111111,0.7529411764705882,45.0
Category_2,0.8,0.6222222222222222,0.7000000000000001,45.0
Category_3,0.6756756756756757,0.5952380952380952,0.6329113924050633,42.0
Category_4,0.8936170212765957,0.9333333333333333,0.9130434782608695,45.0
Category_5,0.8518518518518519,0.92,0.8846153846153846,50.0
Category_6,0.9487179487179487,0.925,0.9367088607594937,40.0
Category_7,0.6935483870967742,0.86,0.7678571428571428,50.0
Category_8,0.6444444444444445,0.58,0.6105263157894737,50.0
Category_9,0.6792452830188679,0.72,0.6990291262135921,50.0
Category_10,0.9736842105263158,0.925,0.9487179487179489,40.0
Category_11,0.825,0.66,0.7333333333333334,50.0
Category_12,0.8571428571428571,0.8727272727272727,0.8648648648648648,55.0
Category_13,0.4868421052631579,0.6166666666666667,0.5441176470588235,60.0
Category_14,0.75,0.6,0.6666666666666665,40.0
Category_15,0.8409090909090909,0.8222222222222222,0.8314606741573033,45.0
Category_16,0.9,0.9,0.9,40.0
Category_17,0.6666666666666666,0.5666666666666667,0.6126126126126126,60.0
Category_18,0.8431372549019608,0.86,0.8514851485148515,50.0
Category_19,0.5465116279069767,0.7833333333333333,0.6438356164383561,60.0
Category_20,0.7948717948717948,0.775,0.7848101265822786,40.0
Category_21,0.7450980392156863,0.8444444444444444,0.7916666666666666,45.0
Category_22,0.7014925373134329,0.7833333333333333,0.7401574803149608,60.0
Category_23,0.9090909090909091,0.75,0.821917808219178,40.0
Category_24,0.8604651162790697,0.8222222222222222,0.8409090909090908,45.0
Category_25,0.8253968253968254,0.8666666666666667,0.8455284552845528,60.0
Category_26,0.9333333333333333,0.84,0.8842105263157894,50.0
Category_27,0.926829268292683,0.95,0.9382716049382716,40.0
Category_28,0.7894736842105263,0.75,0.7692307692307692,40.0
Category_29,1.0,0.9069767441860465,0.951219512195122,43.0
Category_30,0.8125,0.8666666666666667,0.8387096774193549,60.0
Category_31,0.8076923076923077,0.84,0.8235294117647058,50.0
Category_32,0.9565217391304348,0.88,0.9166666666666666,50.0
Category_33,1.0,0.9,0.9473684210526316,40.0
Category_34,0.4,0.36363636363636365,0.380952380952381,55.0
Category_35,0.6447368421052632,0.8305084745762712,0.7259259259259259,59.0
Category_36,0.515625,0.6,0.5546218487394958,55.0
Category_37,0.8333333333333334,0.5813953488372093,0.684931506849315,43.0
Category_38,1.0,0.9555555555555556,0.9772727272727273,45.0
Category_39,0.9523809523809523,1.0,0.975609756097561,60.0
Category_40,0.9545454545454546,0.7636363636363637,0.8484848484848485,55.0
Category_41,0.9767441860465116,0.9333333333333333,0.9545454545454545,45.0
Category_42,0.9117647058823529,0.775,0.8378378378378379,40.0
Category_43,0.7014925373134329,0.7833333333333333,0.7401574803149608,60.0
Category_44,0.4,0.4666666666666667,0.4307692307692308,60.0
Category_45,0.875,0.6363636363636364,0.7368421052631579,55.0
Category_46,0.896551724137931,0.9454545454545454,0.920353982300885,55.0
Category_47,0.8269230769230769,0.7818181818181819,0.8037383177570092,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.7123287671232876,0.8666666666666667,0.7819548872180451,60.0
accuracy,0.778675282714055,0.778675282714055,0.778675282714055,0.778675282714055
macro avg,0.8015411225047037,0.7833712621456413,0.7884666595341566,2476.0
weighted avg,0.7898031563816188,0.778675282714055,0.7801080550617083,2476.0
