,precision,recall,f1-score,support
Category_0,0.7407407407407407,0.7272727272727273,0.7339449541284404,55.0
Category_1,0.6346153846153846,0.7333333333333333,0.6804123711340205,45.0
Category_2,0.7777777777777778,0.6222222222222222,0.6913580246913581,45.0
Category_3,0.7878787878787878,0.6190476190476191,0.6933333333333334,42.0
Category_4,0.8541666666666666,0.9111111111111111,0.8817204301075269,45.0
Category_5,0.8392857142857143,0.94,0.8867924528301886,50.0
Category_6,0.8409090909090909,0.925,0.8809523809523809,40.0
Category_7,0.6212121212121212,0.82,0.706896551724138,50.0
Category_8,0.6904761904761905,0.58,0.6304347826086957,50.0
Category_9,0.6530612244897959,0.64,0.6464646464646464,50.0
Category_10,0.9743589743589743,0.95,0.9620253164556962,40.0
Category_11,0.7083333333333334,0.68,0.6938775510204083,50.0
Category_12,0.7777777777777778,0.8909090909090909,0.8305084745762712,55.0
Category_13,0.4418604651162791,0.31666666666666665,0.3689320388349514,60.0
Category_14,0.8,0.7,0.7466666666666666,40.0
Category_15,0.851063829787234,0.8888888888888888,0.8695652173913044,45.0
Category_16,0.813953488372093,0.875,0.8433734939759036,40.0
Category_17,0.7027027027027027,0.43333333333333335,0.5360824742268041,60.0
Category_18,0.8113207547169812,0.86,0.8349514563106797,50.0
Category_19,0.5675675675675675,0.7,0.626865671641791,60.0
Category_20,0.8611111111111112,0.775,0.8157894736842106,40.0
Category_21,0.609375,0.8666666666666667,0.7155963302752294,45.0
Category_22,0.6323529411764706,0.7166666666666667,0.671875,60.0
Category_23,0.9142857142857143,0.8,0.8533333333333333,40.0
Category_24,0.7735849056603774,0.9111111111111111,0.8367346938775511,45.0
Category_25,0.6666666666666666,0.8333333333333334,0.7407407407407408,60.0
Category_26,0.7543859649122807,0.86,0.8037383177570094,50.0
Category_27,0.9285714285714286,0.975,0.951219512195122,40.0
Category_28,0.7560975609756098,0.775,0.7654320987654322,40.0
Category_29,0.9761904761904762,0.9534883720930233,0.9647058823529412,43.0
Category_30,0.684931506849315,0.8333333333333334,0.7518796992481204,60.0
Category_31,0.7258064516129032,0.9,0.8035714285714286,50.0
Category_32,0.71875,0.92,0.8070175438596492,50.0
Category_33,0.9024390243902439,0.925,0.9135802469135802,40.0
Category_34,0.3870967741935484,0.21818181818181817,0.27906976744186046,55.0
Category_35,0.7017543859649122,0.6779661016949152,0.689655172413793,59.0
Category_36,0.5161290322580645,0.5818181818181818,0.5470085470085471,55.0
Category_37,0.8157894736842105,0.7209302325581395,0.765432098765432,43.0
Category_38,0.8478260869565217,0.8666666666666667,0.8571428571428571,45.0
Category_39,0.9230769230769231,1.0,0.9600000000000001,60.0
Category_40,0.8809523809523809,0.6727272727272727,0.7628865979381443,55.0
Category_41,0.9545454545454546,0.9333333333333333,0.9438202247191012,45.0
Category_42,0.8421052631578947,0.8,0.8205128205128205,40.0
Category_43,0.6129032258064516,0.6333333333333333,0.6229508196721313,60.0
Category_44,0.4411764705882353,0.25,0.3191489361702128,60.0
Category_45,0.7906976744186046,0.6181818181818182,0.693877551020408,55.0
Category_46,0.8032786885245902,0.8909090909090909,0.8448275862068965,55.0
Category_47,0.8636363636363636,0.6909090909090909,0.7676767676767676,55.0
Category_48,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
Category_49,0.6545454545454545,0.6,0.6260869565217392,60.0
accuracy,0.7467689822294022,0.7467689822294022,0.7467689822294022,0.7467689822294022
macro avg,0.7560696794371279,0.7597340078132353,0.7522965653643847,2476.0
weighted avg,0.7435991291229824,0.7467689822294022,0.7391788162881855,2476.0
