,precision,recall,f1-score,support
Category_0,0.7358490566037735,0.7090909090909091,0.7222222222222221,55.0
Category_1,0.6216216216216216,0.5111111111111111,0.5609756097560976,45.0
Category_2,0.575,0.5111111111111111,0.5411764705882353,45.0
Category_3,0.5,0.40476190476190477,0.4473684210526316,42.0
Category_4,0.8125,0.8666666666666667,0.8387096774193549,45.0
Category_5,0.8936170212765957,0.84,0.8659793814432989,50.0
Category_6,0.825,0.825,0.825,40.0
Category_7,0.6458333333333334,0.62,0.6326530612244898,50.0
Category_8,0.4583333333333333,0.44,0.4489795918367347,50.0
Category_9,0.4807692307692308,0.5,0.49019607843137253,50.0
Category_10,1.0,0.925,0.961038961038961,40.0
Category_11,0.723404255319149,0.68,0.7010309278350516,50.0
Category_12,0.8653846153846154,0.8181818181818182,0.8411214953271028,55.0
Category_13,0.359375,0.38333333333333336,0.3709677419354839,60.0
Category_14,0.7105263157894737,0.675,0.6923076923076923,40.0
Category_15,0.875,0.7777777777777778,0.823529411764706,45.0
Category_16,0.723404255319149,0.85,0.7816091954022989,40.0
Category_17,0.6458333333333334,0.5166666666666667,0.5740740740740741,60.0
Category_18,0.6666666666666666,0.68,0.6732673267326733,50.0
Category_19,0.5394736842105263,0.6833333333333333,0.6029411764705882,60.0
Category_20,0.6904761904761905,0.725,0.7073170731707318,40.0
Category_21,0.7446808510638298,0.7777777777777778,0.7608695652173912,45.0
Category_22,0.676056338028169,0.8,0.7328244274809161,60.0
Category_23,0.6341463414634146,0.65,0.6419753086419754,40.0
Category_24,0.6851851851851852,0.8222222222222222,0.7474747474747475,45.0
Category_25,0.7166666666666667,0.7166666666666667,0.7166666666666667,60.0
Category_26,0.7916666666666666,0.76,0.7755102040816326,50.0
Category_27,0.9024390243902439,0.925,0.9135802469135802,40.0
Category_28,0.625,0.625,0.625,40.0
Category_29,0.75,0.7674418604651163,0.7586206896551724,43.0
Category_30,0.7101449275362319,0.8166666666666667,0.7596899224806202,60.0
Category_31,0.8,0.8,0.8000000000000002,50.0
Category_32,0.7454545454545455,0.82,0.780952380952381,50.0
Category_33,0.9117647058823529,0.775,0.8378378378378379,40.0
Category_34,0.23809523809523808,0.18181818181818182,0.20618556701030927,55.0
Category_35,0.6774193548387096,0.711864406779661,0.6942148760330579,59.0
Category_36,0.5245901639344263,0.5818181818181818,0.5517241379310346,55.0
Category_37,0.8,0.8372093023255814,0.8181818181818183,43.0
Category_38,0.9230769230769231,0.8,0.8571428571428571,45.0
Category_39,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
Category_40,0.8333333333333334,0.8181818181818182,0.8256880733944955,55.0
Category_41,0.875,0.9333333333333333,0.9032258064516129,45.0
Category_42,0.7297297297297297,0.675,0.7012987012987014,40.0
Category_43,0.6515151515151515,0.7166666666666667,0.6825396825396826,60.0
Category_44,0.3225806451612903,0.3333333333333333,0.32786885245901637,60.0
Category_45,0.7560975609756098,0.5636363636363636,0.6458333333333333,55.0
Category_46,0.7,0.7636363636363637,0.7304347826086957,55.0
Category_47,0.8085106382978723,0.6909090909090909,0.7450980392156863,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.5652173913043478,0.65,0.6046511627906976,60.0
accuracy,0.6978998384491115,0.6978998384491115,0.6978998384491115,0.6978998384491115
macro avg,0.7080954525874055,0.7047710040320997,0.7043646076662591,2476.0
weighted avg,0.6993887257151992,0.6978998384491115,0.6965040655877732,2476.0
