Categories,Model_Type,Model,Feature,Accuracy,Precision,Recall,F1-Score,Top-1,Top-3,Top-5,Training_Time,Inference_Time
50,ML,LogisticRegression,tfidf,0.7787,0.8015,0.7834,0.7885,0.7787,0.9156,0.9471,9.0494,0.0179
50,ML,RandomForest,tfidf,0.7468,0.7561,0.7597,0.7523,0.7468,0.8873,0.9221,0.4356,0.1014
50,ML,XGBoost,tfidf,0.7229,0.7453,0.7307,0.7349,0.7229,0.8671,0.9087,68.3301,0.1282
50,ML,LogisticRegression,sbert,0.7593,0.7655,0.7648,0.7623,0.7593,0.9136,0.9499,2.4421,0.0198
50,ML,RandomForest,sbert,0.7282,0.7318,0.7364,0.7269,0.7282,0.853,0.8978,0.8799,0.1051
50,ML,XGBoost,sbert,0.6979,0.7081,0.7048,0.7044,0.6979,0.8792,0.9297,67.1361,0.0204
50,DL,BiLSTM,tfidf,0.773,0.7946,0.7815,0.7856,0.773,0.8837,0.9172,127.5009,0.4116
50,DL,BiLSTM,sbert,0.7326,0.7325,0.7417,0.7306,0.7326,0.8837,0.9326,14.7615,0.2039
50,BERT,roberta_base_raw,text,0.773,0.7728,0.7792,0.7715,0.773,0.8966,0.9317,564.4035,15.6841
50,BERT,roberta_large_raw,text,0.8025,0.803,0.809,0.8037,0.8025,0.9099,0.9443,1854.4483,50.7486
50,DEEPSEEK,deepseek_aideepseek_llm_7b_base_raw,text,0.7936,0.7939,0.7986,0.7942,0.7936,0.9196,0.9564,5583.3541,141.0455
