,precision,recall,f1-score,support
Category_0,0.9347826086956522,0.7818181818181819,0.8514851485148516,55.0
Category_1,0.6808510638297872,0.7111111111111111,0.6956521739130436,45.0
Category_2,0.574468085106383,0.6,0.5869565217391305,45.0
Category_3,0.71875,0.5476190476190477,0.6216216216216217,42.0
Category_4,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
Category_5,0.9038461538461539,0.94,0.9215686274509804,50.0
Category_6,0.9047619047619048,0.95,0.9268292682926829,40.0
Category_7,0.6938775510204082,0.68,0.686868686868687,50.0
Category_8,0.4897959183673469,0.48,0.48484848484848486,50.0
Category_9,0.6444444444444445,0.58,0.6105263157894737,50.0
Category_10,0.975,0.975,0.975,40.0
Category_11,0.76,0.76,0.76,50.0
Category_12,0.8793103448275862,0.9272727272727272,0.902654867256637,55.0
Category_13,0.6326530612244898,0.5166666666666667,0.5688073394495414,60.0
Category_14,0.7857142857142857,0.825,0.8048780487804876,40.0
Category_15,0.926829268292683,0.8444444444444444,0.8837209302325582,45.0
Category_16,0.8095238095238095,0.85,0.8292682926829269,40.0
Category_17,0.7758620689655172,0.75,0.7627118644067795,60.0
Category_18,0.8333333333333334,0.9,0.8653846153846153,50.0
Category_19,0.7361111111111112,0.8833333333333333,0.803030303030303,60.0
Category_20,0.6938775510204082,0.85,0.7640449438202247,40.0
Category_21,0.7083333333333334,0.7555555555555555,0.7311827956989247,45.0
Category_22,0.7692307692307693,0.8333333333333334,0.8,60.0
Category_23,0.8055555555555556,0.725,0.7631578947368423,40.0
Category_24,0.9111111111111111,0.9111111111111111,0.9111111111111111,45.0
Category_25,0.7761194029850746,0.8666666666666667,0.8188976377952756,60.0
Category_26,0.9019607843137255,0.92,0.9108910891089109,50.0
Category_27,0.975609756097561,1.0,0.9876543209876543,40.0
Category_28,0.6818181818181818,0.75,0.7142857142857143,40.0
Category_29,0.8936170212765957,0.9767441860465116,0.9333333333333332,43.0
Category_30,0.8524590163934426,0.8666666666666667,0.8595041322314049,60.0
Category_31,0.8367346938775511,0.82,0.8282828282828283,50.0
Category_32,0.8653846153846154,0.9,0.8823529411764707,50.0
Category_33,0.9487179487179487,0.925,0.9367088607594937,40.0
Category_34,0.3235294117647059,0.2,0.24719101123595508,55.0
Category_35,0.7647058823529411,0.8813559322033898,0.8188976377952756,59.0
Category_36,0.576271186440678,0.6181818181818182,0.5964912280701754,55.0
Category_37,0.8636363636363636,0.8837209302325582,0.8735632183908046,43.0
Category_38,0.9574468085106383,1.0,0.9782608695652174,45.0
Category_39,0.967741935483871,1.0,0.9836065573770492,60.0
Category_40,0.8813559322033898,0.9454545454545454,0.9122807017543859,55.0
Category_41,0.9534883720930233,0.9111111111111111,0.9318181818181819,45.0
Category_42,0.8,0.8,0.8000000000000002,40.0
Category_43,0.8245614035087719,0.7833333333333333,0.8034188034188033,60.0
Category_44,0.5581395348837209,0.4,0.4660194174757281,60.0
Category_45,0.8979591836734694,0.8,0.8461538461538463,55.0
Category_46,0.9622641509433962,0.9272727272727272,0.9444444444444444,55.0
Category_47,0.7962962962962963,0.7818181818181819,0.7889908256880734,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.7246376811594203,0.8333333333333334,0.7751937984496124,60.0
accuracy,0.8008885298869144,0.8008885298869144,0.8008885298869144,0.8008885298869144
macro avg,0.8009474502830547,0.8064696100028383,0.801686677278484,2476.0
weighted avg,0.7959173312397102,0.8008885298869144,0.7962601706768712,2476.0
