,precision,recall,f1-score,support
Category_0,0.7454545454545455,0.7454545454545455,0.7454545454545455,55.0
Category_1,0.6222222222222222,0.6222222222222222,0.6222222222222222,45.0
Category_2,0.5111111111111111,0.5111111111111111,0.5111111111111111,45.0
Category_3,0.4583333333333333,0.5238095238095238,0.4888888888888889,42.0
Category_4,0.6417910447761194,0.9555555555555556,0.7678571428571429,45.0
Category_5,0.92,0.92,0.92,50.0
Category_6,0.9024390243902439,0.925,0.9135802469135802,40.0
Category_7,0.6078431372549019,0.62,0.6138613861386139,50.0
Category_8,0.45161290322580644,0.28,0.345679012345679,50.0
Category_9,0.6190476190476191,0.52,0.5652173913043478,50.0
Category_10,1.0,0.95,0.9743589743589743,40.0
Category_11,0.6666666666666666,0.76,0.7102803738317756,50.0
Category_12,0.7846153846153846,0.9272727272727272,0.8500000000000001,55.0
Category_13,0.3404255319148936,0.26666666666666666,0.29906542056074764,60.0
Category_14,0.627906976744186,0.675,0.6506024096385542,40.0
Category_15,0.9230769230769231,0.8,0.8571428571428571,45.0
Category_16,0.8333333333333334,0.75,0.7894736842105262,40.0
Category_17,0.5681818181818182,0.4166666666666667,0.48076923076923084,60.0
Category_18,0.8333333333333334,0.8,0.816326530612245,50.0
Category_19,0.5555555555555556,0.6666666666666666,0.606060606060606,60.0
Category_20,0.6296296296296297,0.85,0.723404255319149,40.0
Category_21,0.7142857142857143,0.7777777777777778,0.7446808510638298,45.0
Category_22,0.7027027027027027,0.8666666666666667,0.7761194029850748,60.0
Category_23,0.7241379310344828,0.525,0.6086956521739131,40.0
Category_24,0.8444444444444444,0.8444444444444444,0.8444444444444444,45.0
Category_25,0.8076923076923077,0.7,0.75,60.0
Category_26,0.88,0.88,0.88,50.0
Category_27,0.975609756097561,1.0,0.9876543209876543,40.0
Category_28,0.6744186046511628,0.725,0.6987951807228916,40.0
Category_29,0.9722222222222222,0.813953488372093,0.8860759493670887,43.0
Category_30,0.8135593220338984,0.8,0.8067226890756303,60.0
Category_31,0.8444444444444444,0.76,0.8,50.0
Category_32,0.6521739130434783,0.9,0.7563025210084033,50.0
Category_33,0.85,0.85,0.85,40.0
Category_34,0.5,0.18181818181818182,0.26666666666666666,55.0
Category_35,0.6956521739130435,0.8135593220338984,0.75,59.0
Category_36,0.5689655172413793,0.6,0.584070796460177,55.0
Category_37,0.8809523809523809,0.8604651162790697,0.8705882352941177,43.0
Category_38,0.9361702127659575,0.9777777777777777,0.9565217391304347,45.0
Category_39,0.9354838709677419,0.9666666666666667,0.9508196721311476,60.0
Category_40,0.8125,0.9454545454545454,0.8739495798319329,55.0
Category_41,0.9318181818181818,0.9111111111111111,0.9213483146067416,45.0
Category_42,0.5573770491803278,0.85,0.6732673267326733,40.0
Category_43,0.7272727272727273,0.8,0.761904761904762,60.0
Category_44,0.32142857142857145,0.15,0.20454545454545456,60.0
Category_45,0.7692307692307693,0.7272727272727273,0.7476635514018691,55.0
Category_46,0.8421052631578947,0.8727272727272727,0.8571428571428571,55.0
Category_47,0.7719298245614035,0.8,0.7857142857142858,55.0
Category_48,0.9512195121951219,1.0,0.975,39.0
Category_49,0.7241379310344828,0.7,0.711864406779661,60.0
accuracy,0.7326332794830371,0.7326332794830371,0.7326332794830371,0.7326332794830371
macro avg,0.7324903088448006,0.7417024156765585,0.7306382989982503,2476.0
weighted avg,0.725343144483128,0.7326332794830371,0.7223828962156291,2476.0
