,precision,recall,f1-score,support
Category_0,0.8070175438596491,0.8363636363636363,0.8214285714285714,55.0
Category_1,0.6,0.6666666666666666,0.631578947368421,45.0
Category_2,0.5,0.5333333333333333,0.5161290322580646,45.0
Category_3,0.8214285714285714,0.5476190476190477,0.6571428571428571,42.0
Category_4,0.7543859649122807,0.9555555555555556,0.8431372549019609,45.0
Category_5,0.8727272727272727,0.96,0.9142857142857144,50.0
Category_6,0.926829268292683,0.95,0.9382716049382716,40.0
Category_7,0.5483870967741935,0.68,0.6071428571428571,50.0
Category_8,0.8636363636363636,0.38,0.5277777777777778,50.0
Category_9,0.65,0.52,0.5777777777777778,50.0
Category_10,0.975,0.975,0.975,40.0
Category_11,0.6666666666666666,0.8,0.7272727272727272,50.0
Category_12,0.8333333333333334,0.9090909090909091,0.8695652173913043,55.0
Category_13,0.6046511627906976,0.43333333333333335,0.5048543689320388,60.0
Category_14,0.717391304347826,0.825,0.7674418604651162,40.0
Category_15,0.9069767441860465,0.8666666666666667,0.8863636363636364,45.0
Category_16,0.813953488372093,0.875,0.8433734939759036,40.0
Category_17,0.75,0.5,0.6,60.0
Category_18,0.8888888888888888,0.96,0.923076923076923,50.0
Category_19,0.684931506849315,0.8333333333333334,0.7518796992481204,60.0
Category_20,0.6481481481481481,0.875,0.7446808510638299,40.0
Category_21,0.7,0.7777777777777778,0.7368421052631577,45.0
Category_22,0.7066666666666667,0.8833333333333333,0.7851851851851853,60.0
Category_23,0.8620689655172413,0.625,0.7246376811594203,40.0
Category_24,0.8301886792452831,0.9777777777777777,0.8979591836734695,45.0
Category_25,0.8064516129032258,0.8333333333333334,0.819672131147541,60.0
Category_26,0.8679245283018868,0.92,0.8932038834951457,50.0
Category_27,0.975,0.975,0.975,40.0
Category_28,0.6444444444444445,0.725,0.6823529411764706,40.0
Category_29,0.8913043478260869,0.9534883720930233,0.9213483146067417,43.0
Category_30,0.8225806451612904,0.85,0.8360655737704918,60.0
Category_31,0.8936170212765957,0.84,0.8659793814432989,50.0
Category_32,0.8,0.8,0.8000000000000002,50.0
Category_33,1.0,0.925,0.961038961038961,40.0
Category_34,0.48,0.21818181818181817,0.3,55.0
Category_35,0.8,0.8813559322033898,0.8387096774193548,59.0
Category_36,0.4583333333333333,0.6,0.5196850393700787,55.0
Category_37,0.918918918918919,0.7906976744186046,0.85,43.0
Category_38,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Category_39,0.9836065573770492,1.0,0.9917355371900827,60.0
Category_40,0.9107142857142857,0.9272727272727272,0.918918918918919,55.0
Category_41,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
Category_42,0.8064516129032258,0.625,0.7042253521126761,40.0
Category_43,0.7741935483870968,0.8,0.7868852459016393,60.0
Category_44,0.6111111111111112,0.36666666666666664,0.45833333333333326,60.0
Category_45,0.8695652173913043,0.7272727272727273,0.792079207920792,55.0
Category_46,0.8412698412698413,0.9636363636363636,0.8983050847457628,55.0
Category_47,0.8181818181818182,0.8181818181818182,0.8181818181818182,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.7142857142857143,0.8333333333333334,0.7692307692307692,60.0
accuracy,0.7831179321486268,0.7831179321486268,0.7831179321486268,0.7831179321486268
macro avg,0.7898529510316432,0.7890521094155702,0.781511441496512,2476.0
weighted avg,0.7842320445147297,0.7831179321486268,0.7755130417490911,2476.0
