,precision,recall,f1-score,support
Category_0,0.8363636363636363,0.8363636363636363,0.8363636363636363,55.0
Category_1,0.66,0.7333333333333333,0.6947368421052631,45.0
Category_2,0.6388888888888888,0.5111111111111111,0.5679012345679012,45.0
Category_3,0.7666666666666667,0.5476190476190477,0.6388888888888888,42.0
Category_4,0.703125,1.0,0.8256880733944955,45.0
Category_5,0.8545454545454545,0.94,0.8952380952380952,50.0
Category_6,0.8478260869565217,0.975,0.9069767441860466,40.0
Category_7,0.5714285714285714,0.64,0.6037735849056605,50.0
Category_8,0.7142857142857143,0.5,0.588235294117647,50.0
Category_9,0.6041666666666666,0.58,0.5918367346938774,50.0
Category_10,0.975,0.975,0.975,40.0
Category_11,0.7272727272727273,0.8,0.761904761904762,50.0
Category_12,0.8909090909090909,0.8909090909090909,0.8909090909090909,55.0
Category_13,0.5166666666666667,0.5166666666666667,0.5166666666666667,60.0
Category_14,0.64,0.8,0.7111111111111111,40.0
Category_15,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
Category_16,0.8095238095238095,0.85,0.8292682926829269,40.0
Category_17,0.7777777777777778,0.4666666666666667,0.5833333333333334,60.0
Category_18,0.8679245283018868,0.92,0.8932038834951457,50.0
Category_19,0.6623376623376623,0.85,0.7445255474452555,60.0
Category_20,0.7021276595744681,0.825,0.7586206896551724,40.0
Category_21,0.6909090909090909,0.8444444444444444,0.7599999999999999,45.0
Category_22,0.726027397260274,0.8833333333333333,0.7969924812030076,60.0
Category_23,0.7666666666666667,0.575,0.6571428571428571,40.0
Category_24,0.8461538461538461,0.9777777777777777,0.9072164948453608,45.0
Category_25,0.78125,0.8333333333333334,0.8064516129032259,60.0
Category_26,0.8518518518518519,0.92,0.8846153846153846,50.0
Category_27,0.975,0.975,0.975,40.0
Category_28,0.6756756756756757,0.625,0.6493506493506493,40.0
Category_29,0.9090909090909091,0.9302325581395349,0.9195402298850575,43.0
Category_30,0.8360655737704918,0.85,0.8429752066115703,60.0
Category_31,0.8461538461538461,0.88,0.8627450980392156,50.0
Category_32,0.8518518518518519,0.92,0.8846153846153846,50.0
Category_33,1.0,0.925,0.961038961038961,40.0
Category_34,0.44,0.2,0.275,55.0
Category_35,0.7857142857142857,0.9322033898305084,0.8527131782945736,59.0
Category_36,0.5384615384615384,0.6363636363636364,0.5833333333333334,55.0
Category_37,0.8780487804878049,0.8372093023255814,0.8571428571428572,43.0
Category_38,0.9565217391304348,0.9777777777777777,0.967032967032967,45.0
Category_39,0.9836065573770492,1.0,0.9917355371900827,60.0
Category_40,0.8947368421052632,0.9272727272727272,0.9107142857142856,55.0
Category_41,0.8958333333333334,0.9555555555555556,0.924731182795699,45.0
Category_42,0.8275862068965517,0.6,0.6956521739130435,40.0
Category_43,0.7666666666666667,0.7666666666666667,0.7666666666666667,60.0
Category_44,0.782608695652174,0.3,0.43373493975903615,60.0
Category_45,0.8979591836734694,0.8,0.8461538461538463,55.0
Category_46,0.9137931034482759,0.9636363636363636,0.9380530973451328,55.0
Category_47,0.851063829787234,0.7272727272727273,0.7843137254901961,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.684931506849315,0.8333333333333334,0.7518796992481204,60.0
accuracy,0.787156704361874,0.787156704361874,0.787156704361874,0.787156704361874
macro avg,0.7909927403141107,0.7924149829279904,0.7839455216026684,2476.0
weighted avg,0.7865960063310874,0.787156704361874,0.7785756237853906,2476.0
