,precision,recall,f1-score,support
Category_0,0.7931034482758621,0.8363636363636363,0.8141592920353982,55.0
Category_1,0.723404255319149,0.7555555555555555,0.7391304347826088,45.0
Category_2,0.5897435897435898,0.5111111111111111,0.5476190476190476,45.0
Category_3,0.7241379310344828,0.5,0.591549295774648,42.0
Category_4,0.703125,1.0,0.8256880733944955,45.0
Category_5,0.8245614035087719,0.94,0.8785046728971964,50.0
Category_6,0.8837209302325582,0.95,0.9156626506024096,40.0
Category_7,0.5833333333333334,0.7,0.6363636363636365,50.0
Category_8,0.782608695652174,0.36,0.4931506849315068,50.0
Category_9,0.7714285714285715,0.54,0.6352941176470589,50.0
Category_10,0.975,0.975,0.975,40.0
Category_11,0.6896551724137931,0.8,0.7407407407407408,50.0
Category_12,0.8305084745762712,0.8909090909090909,0.8596491228070176,55.0
Category_13,0.5,0.5,0.5,60.0
Category_14,0.6739130434782609,0.775,0.7209302325581396,40.0
Category_15,0.9047619047619048,0.8444444444444444,0.8735632183908046,45.0
Category_16,0.9142857142857143,0.8,0.8533333333333333,40.0
Category_17,0.78125,0.4166666666666667,0.5434782608695653,60.0
Category_18,0.8703703703703703,0.94,0.9038461538461539,50.0
Category_19,0.647887323943662,0.7666666666666667,0.7022900763358779,60.0
Category_20,0.66,0.825,0.7333333333333334,40.0
Category_21,0.6851851851851852,0.8222222222222222,0.7474747474747475,45.0
Category_22,0.7391304347826086,0.85,0.7906976744186046,60.0
Category_23,0.7586206896551724,0.55,0.6376811594202898,40.0
Category_24,0.8301886792452831,0.9777777777777777,0.8979591836734695,45.0
Category_25,0.8064516129032258,0.8333333333333334,0.819672131147541,60.0
Category_26,0.9,0.9,0.9,50.0
Category_27,1.0,0.975,0.9873417721518987,40.0
Category_28,0.6756756756756757,0.625,0.6493506493506493,40.0
Category_29,0.851063829787234,0.9302325581395349,0.888888888888889,43.0
Category_30,0.8253968253968254,0.8666666666666667,0.8455284552845528,60.0
Category_31,0.8235294117647058,0.84,0.8316831683168315,50.0
Category_32,0.7678571428571429,0.86,0.8113207547169812,50.0
Category_33,1.0,0.95,0.9743589743589743,40.0
Category_34,0.4838709677419355,0.2727272727272727,0.3488372093023256,55.0
Category_35,0.7777777777777778,0.9491525423728814,0.8549618320610687,59.0
Category_36,0.5737704918032787,0.6363636363636364,0.6034482758620691,55.0
Category_37,0.8974358974358975,0.813953488372093,0.8536585365853658,43.0
Category_38,0.9574468085106383,1.0,0.9782608695652174,45.0
Category_39,0.9836065573770492,1.0,0.9917355371900827,60.0
Category_40,0.9122807017543859,0.9454545454545454,0.9285714285714285,55.0
Category_41,0.8958333333333334,0.9555555555555556,0.924731182795699,45.0
Category_42,0.717948717948718,0.7,0.708860759493671,40.0
Category_43,0.8181818181818182,0.75,0.7826086956521738,60.0
Category_44,0.6842105263157895,0.43333333333333335,0.5306122448979592,60.0
Category_45,0.8888888888888888,0.7272727272727273,0.7999999999999999,55.0
Category_46,0.828125,0.9636363636363636,0.8907563025210083,55.0
Category_47,0.7857142857142857,0.8,0.7927927927927927,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.6712328767123288,0.8166666666666667,0.7368421052631579,60.0
accuracy,0.7823101777059773,0.7823101777059773,0.7823101777059773,0.7823101777059773
macro avg,0.786824465982153,0.7874213172322357,0.7795852696434464,2476.0
weighted avg,0.7820348396499178,0.7823101777059773,0.7743384112498084,2476.0
