,precision,recall,f1-score,support
Category_0,0.7704918032786885,0.8545454545454545,0.810344827586207,55.0
Category_1,0.725,0.6444444444444445,0.6823529411764706,45.0
Category_2,0.4883720930232558,0.4666666666666667,0.47727272727272724,45.0
Category_3,0.6857142857142857,0.5714285714285714,0.6233766233766234,42.0
Category_4,0.7457627118644068,0.9777777777777777,0.8461538461538463,45.0
Category_5,0.8245614035087719,0.94,0.8785046728971964,50.0
Category_6,0.8260869565217391,0.95,0.8837209302325583,40.0
Category_7,0.5737704918032787,0.7,0.6306306306306306,50.0
Category_8,0.75,0.36,0.48648648648648657,50.0
Category_9,0.6756756756756757,0.5,0.5747126436781609,50.0
Category_10,0.975,0.975,0.975,40.0
Category_11,0.7272727272727273,0.8,0.761904761904762,50.0
Category_12,0.9090909090909091,0.9090909090909091,0.9090909090909091,55.0
Category_13,0.6078431372549019,0.5166666666666667,0.5585585585585585,60.0
Category_14,0.7560975609756098,0.775,0.7654320987654322,40.0
Category_15,0.8125,0.8666666666666667,0.8387096774193549,45.0
Category_16,0.8611111111111112,0.775,0.8157894736842106,40.0
Category_17,0.7419354838709677,0.38333333333333336,0.5054945054945055,60.0
Category_18,0.9038461538461539,0.94,0.9215686274509804,50.0
Category_19,0.7,0.8166666666666667,0.7538461538461538,60.0
Category_20,0.68,0.85,0.7555555555555556,40.0
Category_21,0.6428571428571429,0.8,0.7128712871287128,45.0
Category_22,0.7027027027027027,0.8666666666666667,0.7761194029850748,60.0
Category_23,0.6176470588235294,0.525,0.5675675675675677,40.0
Category_24,0.8,0.9777777777777777,0.8800000000000001,45.0
Category_25,0.765625,0.8166666666666667,0.7903225806451613,60.0
Category_26,0.9166666666666666,0.88,0.8979591836734694,50.0
Category_27,0.975,0.975,0.975,40.0
Category_28,0.675,0.675,0.675,40.0
Category_29,0.851063829787234,0.9302325581395349,0.888888888888889,43.0
Category_30,0.8360655737704918,0.85,0.8429752066115703,60.0
Category_31,0.8,0.88,0.8380952380952381,50.0
Category_32,0.8571428571428571,0.84,0.8484848484848485,50.0
Category_33,1.0,0.95,0.9743589743589743,40.0
Category_34,0.56,0.2545454545454545,0.35,55.0
Category_35,0.7941176470588235,0.9152542372881356,0.8503937007874015,59.0
Category_36,0.5081967213114754,0.5636363636363636,0.5344827586206896,55.0
Category_37,0.8666666666666667,0.9069767441860465,0.8863636363636364,43.0
Category_38,0.9767441860465116,0.9333333333333333,0.9545454545454545,45.0
Category_39,0.967741935483871,1.0,0.9836065573770492,60.0
Category_40,0.9285714285714286,0.9454545454545454,0.9369369369369368,55.0
Category_41,0.9,1.0,0.9473684210526316,45.0
Category_42,0.6585365853658537,0.675,0.6666666666666667,40.0
Category_43,0.7796610169491526,0.7666666666666667,0.773109243697479,60.0
Category_44,0.717948717948718,0.4666666666666667,0.5656565656565657,60.0
Category_45,0.8545454545454545,0.8545454545454545,0.8545454545454545,55.0
Category_46,0.8688524590163934,0.9636363636363636,0.9137931034482758,55.0
Category_47,0.8085106382978723,0.6909090909090909,0.7450980392156863,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.7183098591549296,0.85,0.7786259541984734,60.0
accuracy,0.781502423263328,0.781502423263328,0.781502423263328,0.781502423263328
macro avg,0.7812661330596051,0.7865051149481185,0.7770136818993028,2476.0
weighted avg,0.7785929812829703,0.781502423263328,0.7727102305709866,2476.0
