,precision,recall,f1-score,support
Category_0,0.7547169811320755,0.7272727272727273,0.7407407407407407,55.0
Category_1,0.0,0.0,0.0,45.0
Category_2,0.0,0.0,0.0,45.0
Category_3,0.25,0.023809523809523808,0.04347826086956521,42.0
Category_4,0.0,0.0,0.0,45.0
Category_5,0.5294117647058824,0.18,0.26865671641791045,50.0
Category_6,0.0,0.0,0.0,40.0
Category_7,0.0,0.0,0.0,50.0
Category_8,0.0,0.0,0.0,50.0
Category_9,0.0,0.0,0.0,50.0
Category_10,0.375,0.75,0.5,40.0
Category_11,0.0,0.0,0.0,50.0
Category_12,0.23318385650224216,0.9454545454545454,0.3741007194244604,55.0
Category_13,0.0,0.0,0.0,60.0
Category_14,0.0,0.0,0.0,40.0
Category_15,0.7755102040816326,0.8444444444444444,0.8085106382978723,45.0
Category_16,0.0,0.0,0.0,40.0
Category_17,0.28735632183908044,0.4166666666666667,0.3401360544217687,60.0
Category_18,0.0,0.0,0.0,50.0
Category_19,0.3611111111111111,0.65,0.4642857142857143,60.0
Category_20,0.0,0.0,0.0,40.0
Category_21,0.21153846153846154,0.4888888888888889,0.2953020134228188,45.0
Category_22,0.20967741935483872,0.21666666666666667,0.21311475409836064,60.0
Category_23,0.0,0.0,0.0,40.0
Category_24,0.0,0.0,0.0,45.0
Category_25,0.18473895582329317,0.7666666666666667,0.2977346278317152,60.0
Category_26,0.37168141592920356,0.84,0.5153374233128835,50.0
Category_27,1.0,0.975,0.9873417721518987,40.0
Category_28,0.0,0.0,0.0,40.0
Category_29,0.4659090909090909,0.9534883720930233,0.6259541984732824,43.0
Category_30,0.4777777777777778,0.7166666666666667,0.5733333333333334,60.0
Category_31,0.4,0.04,0.07272727272727272,50.0
Category_32,0.0,0.0,0.0,50.0
Category_33,0.5,0.05,0.09090909090909091,40.0
Category_34,0.15,0.05454545454545454,0.08,55.0
Category_35,0.2752808988764045,0.8305084745762712,0.4135021097046414,59.0
Category_36,0.3,0.2727272727272727,0.28571428571428564,55.0
Category_37,0.0,0.0,0.0,43.0
Category_38,0.975609756097561,0.8888888888888888,0.9302325581395349,45.0
Category_39,1.0,1.0,1.0,60.0
Category_40,0.7580645161290323,0.8545454545454545,0.8034188034188033,55.0
Category_41,0.5,0.9777777777777777,0.6616541353383458,45.0
Category_42,0.0,0.0,0.0,40.0
Category_43,0.14646464646464646,0.48333333333333334,0.2248062015503876,60.0
Category_44,0.22580645161290322,0.11666666666666667,0.15384615384615385,60.0
Category_45,0.4426229508196721,0.4909090909090909,0.46551724137931033,55.0
Category_46,0.3880597014925373,0.4727272727272727,0.4262295081967214,55.0
Category_47,0.36,0.6545454545454545,0.464516129032258,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.5208333333333334,0.8333333333333334,0.6410256410256411,60.0
accuracy,0.3861066235864297,0.3861066235864297,0.3861066235864297,0.3861066235864297
macro avg,0.2886071123106156,0.3703106728641217,0.2952425219612954,2476.0
weighted avg,0.2939182363994436,0.3861066235864297,0.3045724252831873,2476.0
