,precision,recall,f1-score,support
Category_0,0.7580645161290323,0.8545454545454545,0.8034188034188033,55.0
Category_1,0.7631578947368421,0.6444444444444445,0.6987951807228916,45.0
Category_2,0.5689655172413793,0.7333333333333333,0.6407766990291263,45.0
Category_3,0.7941176470588235,0.6428571428571429,0.7105263157894737,42.0
Category_4,0.86,0.9555555555555556,0.9052631578947369,45.0
Category_5,0.8305084745762712,0.98,0.8990825688073395,50.0
Category_6,0.95,0.95,0.9500000000000001,40.0
Category_7,0.8260869565217391,0.76,0.7916666666666667,50.0
Category_8,0.5111111111111111,0.46,0.4842105263157895,50.0
Category_9,0.7297297297297297,0.54,0.6206896551724138,50.0
Category_10,1.0,0.975,0.9873417721518987,40.0
Category_11,0.8260869565217391,0.76,0.7916666666666667,50.0
Category_12,0.864406779661017,0.9272727272727272,0.8947368421052632,55.0
Category_13,0.5862068965517241,0.5666666666666667,0.576271186440678,60.0
Category_14,0.8333333333333334,0.75,0.7894736842105262,40.0
Category_15,0.9743589743589743,0.8444444444444444,0.9047619047619048,45.0
Category_16,0.8292682926829268,0.85,0.8395061728395061,40.0
Category_17,0.8235294117647058,0.4666666666666667,0.5957446808510638,60.0
Category_18,0.8333333333333334,0.9,0.8653846153846153,50.0
Category_19,0.7272727272727273,0.8,0.761904761904762,60.0
Category_20,0.6296296296296297,0.85,0.723404255319149,40.0
Category_21,0.6440677966101694,0.8444444444444444,0.7307692307692307,45.0
Category_22,0.8,0.7333333333333333,0.7652173913043478,60.0
Category_23,0.7647058823529411,0.65,0.7027027027027027,40.0
Category_24,0.84,0.9333333333333333,0.8842105263157894,45.0
Category_25,0.8275862068965517,0.8,0.8135593220338982,60.0
Category_26,0.8653846153846154,0.9,0.8823529411764707,50.0
Category_27,0.975609756097561,1.0,0.9876543209876543,40.0
Category_28,0.8055555555555556,0.725,0.7631578947368423,40.0
Category_29,1.0,0.9767441860465116,0.988235294117647,43.0
Category_30,0.8032786885245902,0.8166666666666667,0.8099173553719008,60.0
Category_31,0.8478260869565217,0.78,0.8125,50.0
Category_32,0.8490566037735849,0.9,0.8737864077669903,50.0
Category_33,0.9487179487179487,0.925,0.9367088607594937,40.0
Category_34,0.6190476190476191,0.23636363636363636,0.34210526315789475,55.0
Category_35,0.7391304347826086,0.864406779661017,0.796875,59.0
Category_36,0.5185185185185185,0.7636363636363637,0.6176470588235293,55.0
Category_37,0.813953488372093,0.813953488372093,0.8139534883720931,43.0
Category_38,0.9361702127659575,0.9777777777777777,0.9565217391304347,45.0
Category_39,1.0,1.0,1.0,60.0
Category_40,0.8666666666666667,0.9454545454545454,0.9043478260869566,55.0
Category_41,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0
Category_42,0.8823529411764706,0.75,0.8108108108108107,40.0
Category_43,0.8275862068965517,0.8,0.8135593220338982,60.0
Category_44,0.43548387096774194,0.45,0.4426229508196722,60.0
Category_45,0.86,0.7818181818181819,0.819047619047619,55.0
Category_46,0.8032786885245902,0.8909090909090909,0.8448275862068965,55.0
Category_47,0.7741935483870968,0.8727272727272727,0.8205128205128205,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.746031746031746,0.7833333333333333,0.7642276422764228,60.0
accuracy,0.7948303715670436,0.7948303715670436,0.7948303715670436,0.7948303715670436
macro avg,0.8053785364155658,0.8016248885043918,0.797760260946617,2476.0
weighted avg,0.7985603495310223,0.7948303715670436,0.7906484595613407,2476.0
