,precision,recall,f1-score,support
Category_0,0.6825396825396826,0.7818181818181819,0.7288135593220338,55.0
Category_1,0.6666666666666666,0.7555555555555555,0.7083333333333334,45.0
Category_2,0.675,0.6,0.6352941176470589,45.0
Category_3,0.5254237288135594,0.7380952380952381,0.613861386138614,42.0
Category_4,0.8269230769230769,0.9555555555555556,0.88659793814433,45.0
Category_5,0.9019607843137255,0.92,0.9108910891089109,50.0
Category_6,0.9487179487179487,0.925,0.9367088607594937,40.0
Category_7,0.8461538461538461,0.66,0.7415730337078651,50.0
Category_8,0.6857142857142857,0.48,0.5647058823529412,50.0
Category_9,0.7352941176470589,0.5,0.5952380952380952,50.0
Category_10,0.95,0.95,0.9500000000000001,40.0
Category_11,0.6666666666666666,0.88,0.7586206896551725,50.0
Category_12,0.9302325581395349,0.7272727272727273,0.8163265306122448,55.0
Category_13,0.40229885057471265,0.5833333333333334,0.4761904761904762,60.0
Category_14,0.8648648648648649,0.8,0.8311688311688312,40.0
Category_15,0.9523809523809523,0.8888888888888888,0.9195402298850575,45.0
Category_16,0.8857142857142857,0.775,0.8266666666666667,40.0
Category_17,0.7115384615384616,0.6166666666666667,0.6607142857142857,60.0
Category_18,0.84,0.84,0.8399999999999999,50.0
Category_19,0.7352941176470589,0.8333333333333334,0.78125,60.0
Category_20,0.7272727272727273,0.8,0.761904761904762,40.0
Category_21,0.7755102040816326,0.8444444444444444,0.8085106382978723,45.0
Category_22,0.8301886792452831,0.7333333333333333,0.7787610619469026,60.0
Category_23,0.7209302325581395,0.775,0.7469879518072289,40.0
Category_24,0.8723404255319149,0.9111111111111111,0.891304347826087,45.0
Category_25,0.8723404255319149,0.6833333333333333,0.766355140186916,60.0
Category_26,0.9,0.9,0.9,50.0
Category_27,0.975609756097561,1.0,0.9876543209876543,40.0
Category_28,0.6530612244897959,0.8,0.7191011235955055,40.0
Category_29,0.9347826086956522,1.0,0.9662921348314606,43.0
Category_30,0.8245614035087719,0.7833333333333333,0.8034188034188033,60.0
Category_31,0.7962962962962963,0.86,0.826923076923077,50.0
Category_32,0.8490566037735849,0.9,0.8737864077669903,50.0
Category_33,0.972972972972973,0.9,0.935064935064935,40.0
Category_34,0.46153846153846156,0.21818181818181817,0.29629629629629634,55.0
Category_35,0.7777777777777778,0.8305084745762712,0.8032786885245902,59.0
Category_36,0.6470588235294118,0.6,0.6226415094339622,55.0
Category_37,0.9210526315789473,0.813953488372093,0.8641975308641974,43.0
Category_38,0.9777777777777777,0.9777777777777777,0.9777777777777777,45.0
Category_39,1.0,1.0,1.0,60.0
Category_40,0.8813559322033898,0.9454545454545454,0.9122807017543859,55.0
Category_41,0.9130434782608695,0.9333333333333333,0.9230769230769231,45.0
Category_42,0.6481481481481481,0.875,0.7446808510638299,40.0
Category_43,0.7424242424242424,0.8166666666666667,0.7777777777777778,60.0
Category_44,0.4782608695652174,0.36666666666666664,0.41509433962264153,60.0
Category_45,0.7627118644067796,0.8181818181818182,0.7894736842105264,55.0
Category_46,0.9,0.8181818181818182,0.8571428571428572,55.0
Category_47,0.8461538461538461,0.8,0.8224299065420562,55.0
Category_48,1.0,1.0,1.0,39.0
Category_49,0.6956521739130435,0.8,0.7441860465116279,60.0
accuracy,0.7851373182552503,0.7851373182552503,0.7851373182552503,0.7851373182552503
macro avg,0.7958252896470112,0.7942996288693568,0.7899778920160611,2476.0
weighted avg,0.7896128437684411,0.7851373182552503,0.7821336286219832,2476.0
