,precision,recall,f1-score,support
Category_0,0.75,0.7090909090909091,0.7289719626168225,55.0
Category_1,0.7045454545454546,0.6888888888888889,0.6966292134831461,45.0
Category_2,0.675,0.6,0.6352941176470589,45.0
Category_3,0.6551724137931034,0.4523809523809524,0.5352112676056338,42.0
Category_4,0.8541666666666666,0.9111111111111111,0.8817204301075269,45.0
Category_5,0.8775510204081632,0.86,0.8686868686868686,50.0
Category_6,0.8809523809523809,0.925,0.9024390243902439,40.0
Category_7,0.6545454545454545,0.72,0.6857142857142857,50.0
Category_8,0.5609756097560976,0.46,0.5054945054945056,50.0
Category_9,0.6744186046511628,0.58,0.6236559139784946,50.0
Category_10,1.0,0.95,0.9743589743589743,40.0
Category_11,0.7659574468085106,0.72,0.7422680412371133,50.0
Category_12,0.8448275862068966,0.8909090909090909,0.8672566371681416,55.0
Category_13,0.41935483870967744,0.43333333333333335,0.4262295081967213,60.0
Category_14,0.7692307692307693,0.75,0.7594936708860761,40.0
Category_15,0.8444444444444444,0.8444444444444444,0.8444444444444444,45.0
Category_16,0.8333333333333334,0.75,0.7894736842105262,40.0
Category_17,0.7560975609756098,0.5166666666666667,0.6138613861386139,60.0
Category_18,0.8367346938775511,0.82,0.8282828282828283,50.0
Category_19,0.6056338028169014,0.7166666666666667,0.6564885496183206,60.0
Category_20,0.775,0.775,0.775,40.0
Category_21,0.660377358490566,0.7777777777777778,0.7142857142857142,45.0
Category_22,0.7066666666666667,0.8833333333333333,0.7851851851851853,60.0
Category_23,0.7142857142857143,0.625,0.6666666666666666,40.0
Category_24,0.8723404255319149,0.9111111111111111,0.891304347826087,45.0
Category_25,0.8095238095238095,0.85,0.8292682926829269,60.0
Category_26,0.8431372549019608,0.86,0.8514851485148515,50.0
Category_27,0.95,0.95,0.9500000000000001,40.0
Category_28,0.6153846153846154,0.6,0.6075949367088608,40.0
Category_29,0.9736842105263158,0.8604651162790697,0.9135802469135803,43.0
Category_30,0.704225352112676,0.8333333333333334,0.7633587786259541,60.0
Category_31,0.7777777777777778,0.84,0.8076923076923077,50.0
Category_32,0.8113207547169812,0.86,0.8349514563106797,50.0
Category_33,0.9428571428571428,0.825,0.88,40.0
Category_34,0.375,0.21818181818181817,0.27586206896551724,55.0
Category_35,0.7205882352941176,0.8305084745762712,0.7716535433070865,59.0
Category_36,0.5833333333333334,0.6363636363636364,0.6086956521739131,55.0
Category_37,0.9090909090909091,0.9302325581395349,0.9195402298850575,43.0
Category_38,0.9767441860465116,0.9333333333333333,0.9545454545454545,45.0
Category_39,0.9090909090909091,1.0,0.9523809523809523,60.0
Category_40,0.8947368421052632,0.9272727272727272,0.9107142857142856,55.0
Category_41,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
Category_42,0.7111111111111111,0.8,0.7529411764705882,40.0
Category_43,0.71875,0.7666666666666667,0.7419354838709677,60.0
Category_44,0.39622641509433965,0.35,0.3716814159292035,60.0
Category_45,0.8,0.7272727272727273,0.761904761904762,55.0
Category_46,0.7846153846153846,0.9272727272727272,0.8500000000000001,55.0
Category_47,0.8269230769230769,0.7818181818181819,0.8037383177570092,55.0
Category_48,0.9743589743589743,0.9743589743589743,0.9743589743589743,39.0
Category_49,0.6376811594202898,0.7333333333333333,0.6821705426356589,60.0
accuracy,0.7592891760904685,0.7592891760904685,0.7592891760904685,0.7592891760904685
macro avg,0.7654511261935637,0.7648336689894434,0.7622705240126707,2476.0
weighted avg,0.7562077890154743,0.7592891760904685,0.7547071706120001,2476.0
