,precision,recall,f1-score,support
Category_0,0.65625,0.7636363636363637,0.7058823529411765,55.0
Category_1,0.6956521739130435,0.7111111111111111,0.7032967032967032,45.0
Category_2,0.6511627906976745,0.6222222222222222,0.6363636363636364,45.0
Category_3,0.5454545454545454,0.2857142857142857,0.37499999999999994,42.0
Category_4,0.7368421052631579,0.9333333333333333,0.8235294117647058,45.0
Category_5,0.8392857142857143,0.94,0.8867924528301886,50.0
Category_6,0.75,0.9,0.8181818181818182,40.0
Category_7,0.5428571428571428,0.76,0.6333333333333332,50.0
Category_8,0.5945945945945946,0.44,0.5057471264367815,50.0
Category_9,0.675,0.54,0.6000000000000001,50.0
Category_10,0.926829268292683,0.95,0.9382716049382716,40.0
Category_11,0.7254901960784313,0.74,0.7326732673267328,50.0
Category_12,0.75,0.8727272727272727,0.8067226890756303,55.0
Category_13,0.5116279069767442,0.36666666666666664,0.4271844660194174,60.0
Category_14,0.7837837837837838,0.725,0.7532467532467533,40.0
Category_15,0.8666666666666667,0.8666666666666667,0.8666666666666667,45.0
Category_16,0.8378378378378378,0.775,0.8051948051948051,40.0
Category_17,0.6666666666666666,0.43333333333333335,0.5252525252525252,60.0
Category_18,0.782608695652174,0.72,0.7499999999999999,50.0
Category_19,0.5189873417721519,0.6833333333333333,0.5899280575539569,60.0
Category_20,0.7391304347826086,0.85,0.7906976744186046,40.0
Category_21,0.7446808510638298,0.7777777777777778,0.7608695652173912,45.0
Category_22,0.631578947368421,0.8,0.7058823529411765,60.0
Category_23,0.8148148148148148,0.55,0.6567164179104479,40.0
Category_24,0.78,0.8666666666666667,0.8210526315789474,45.0
Category_25,0.6923076923076923,0.75,0.7199999999999999,60.0
Category_26,0.84,0.84,0.8399999999999999,50.0
Category_27,0.8333333333333334,1.0,0.9090909090909091,40.0
Category_28,0.8055555555555556,0.725,0.7631578947368423,40.0
Category_29,0.8421052631578947,0.7441860465116279,0.7901234567901234,43.0
Category_30,0.6962025316455697,0.9166666666666666,0.7913669064748202,60.0
Category_31,0.7454545454545455,0.82,0.780952380952381,50.0
Category_32,0.6716417910447762,0.9,0.7692307692307693,50.0
Category_33,0.8857142857142857,0.775,0.8266666666666667,40.0
Category_34,0.3333333333333333,0.21818181818181817,0.26373626373626374,55.0
Category_35,0.5714285714285714,0.7457627118644068,0.6470588235294118,59.0
Category_36,0.6046511627906976,0.4727272727272727,0.5306122448979591,55.0
Category_37,0.8974358974358975,0.813953488372093,0.8536585365853658,43.0
Category_38,0.9130434782608695,0.9333333333333333,0.9230769230769231,45.0
Category_39,0.8955223880597015,1.0,0.9448818897637796,60.0
Category_40,0.8571428571428571,0.8727272727272727,0.8648648648648648,55.0
Category_41,0.9333333333333333,0.9333333333333333,0.9333333333333333,45.0
Category_42,0.8235294117647058,0.7,0.7567567567567567,40.0
Category_43,0.6885245901639344,0.7,0.6942148760330578,60.0
Category_44,0.38095238095238093,0.13333333333333333,0.19753086419753085,60.0
Category_45,0.7551020408163265,0.6727272727272727,0.7115384615384616,55.0
Category_46,0.7678571428571429,0.7818181818181819,0.7747747747747747,55.0
Category_47,0.7457627118644068,0.8,0.7719298245614035,55.0
Category_48,0.975,1.0,0.9873417721518987,39.0
Category_49,0.6666666666666666,0.7,0.6829268292682926,60.0
accuracy,0.7281906300484653,0.7281906300484653,0.7281906300484653,0.7281906300484653
macro avg,0.7317880688781433,0.7364387952957131,0.7269462467100452,2476.0
weighted avg,0.720749708386695,0.7281906300484653,0.7169802707708669,2476.0
