,precision,recall,f1-score,support
Category_0,0.7555555555555555,0.6181818181818182,0.6799999999999999,55.0
Category_1,0.7317073170731707,0.6666666666666666,0.6976744186046511,45.0
Category_2,0.7222222222222222,0.5777777777777777,0.6419753086419753,45.0
Category_3,0.49019607843137253,0.5952380952380952,0.5376344086021505,42.0
Category_4,0.8666666666666667,0.8666666666666667,0.8666666666666667,45.0
Category_5,0.8979591836734694,0.88,0.888888888888889,50.0
Category_6,0.9,0.9,0.9,40.0
Category_7,0.6557377049180327,0.8,0.7207207207207207,50.0
Category_8,0.6190476190476191,0.52,0.5652173913043478,50.0
Category_9,0.6666666666666666,0.48,0.5581395348837209,50.0
Category_10,0.926829268292683,0.95,0.9382716049382716,40.0
Category_11,0.7111111111111111,0.64,0.6736842105263158,50.0
Category_12,0.7540983606557377,0.8363636363636363,0.793103448275862,55.0
Category_13,0.40350877192982454,0.38333333333333336,0.39316239316239315,60.0
Category_14,0.7714285714285715,0.675,0.72,40.0
Category_15,0.8409090909090909,0.8222222222222222,0.8314606741573033,45.0
Category_16,0.8048780487804879,0.825,0.8148148148148149,40.0
Category_17,0.7,0.5833333333333334,0.6363636363636365,60.0
Category_18,0.82,0.82,0.82,50.0
Category_19,0.5466666666666666,0.6833333333333333,0.6074074074074074,60.0
Category_20,0.7941176470588235,0.675,0.7297297297297296,40.0
Category_21,0.7954545454545454,0.7777777777777778,0.7865168539325843,45.0
Category_22,0.6666666666666666,0.6333333333333333,0.6495726495726496,60.0
Category_23,0.7777777777777778,0.7,0.7368421052631577,40.0
Category_24,0.8571428571428571,0.8,0.8275862068965518,45.0
Category_25,0.7076923076923077,0.7666666666666667,0.736,60.0
Category_26,0.8541666666666666,0.82,0.836734693877551,50.0
Category_27,0.95,0.95,0.9500000000000001,40.0
Category_28,0.8064516129032258,0.625,0.7042253521126761,40.0
Category_29,0.9302325581395349,0.9302325581395349,0.9302325581395349,43.0
Category_30,0.734375,0.7833333333333333,0.7580645161290323,60.0
Category_31,0.6491228070175439,0.74,0.6915887850467289,50.0
Category_32,0.875,0.84,0.8571428571428572,50.0
Category_33,0.8717948717948718,0.85,0.8607594936708861,40.0
Category_34,0.29508196721311475,0.32727272727272727,0.3103448275862069,55.0
Category_35,0.640625,0.6949152542372882,0.6666666666666667,59.0
Category_36,0.5081967213114754,0.5636363636363636,0.5344827586206896,55.0
Category_37,0.7045454545454546,0.7209302325581395,0.7126436781609196,43.0
Category_38,0.8636363636363636,0.8444444444444444,0.853932584269663,45.0
Category_39,0.967741935483871,1.0,0.9836065573770492,60.0
Category_40,0.8636363636363636,0.6909090909090909,0.7676767676767676,55.0
Category_41,0.9767441860465116,0.9333333333333333,0.9545454545454545,45.0
Category_42,0.6904761904761905,0.725,0.7073170731707318,40.0
Category_43,0.6142857142857143,0.7166666666666667,0.6615384615384615,60.0
Category_44,0.3372093023255814,0.48333333333333334,0.3972602739726028,60.0
Category_45,0.8421052631578947,0.5818181818181818,0.6881720430107526,55.0
Category_46,0.8,0.8727272727272727,0.8347826086956521,55.0
Category_47,0.6896551724137931,0.7272727272727273,0.7079646017699116,55.0
Category_48,1.0,0.9230769230769231,0.9600000000000001,39.0
Category_49,0.6142857142857143,0.7166666666666667,0.6615384615384615,60.0
accuracy,0.722940226171244,0.722940226171244,0.722940226171244,0.722940226171244
macro avg,0.7452681914232363,0.7307292754064137,0.7348530829614611,2476.0
weighted avg,0.7337750809870939,0.722940226171244,0.725071843600142,2476.0
